rule_id,step2_status,step3_evidence_type,step3_source_id,step3_locator,observed_value,observed_unit,formatting_mechanism,conversion_fidelity,resolution,resolution_status,implementation_recommendation,step4_template_action,poc_requirement,windows_manual_check,notes
HFUT-FMT-013,TEXTUALLY_EXPLICIT_REQUIREMENT,OOXML_PARAGRAPH,HFUT_FMT_DOC,document.xml P012 and P015,"引言/一级标题14 pt黑体顶格；编号0或1作为普通文本",pt;number text,DIRECT_FORMATTING,CONSISTENT,字体字号得到证据但自动编号未得到numbering.xml支持,DIRECT_FORMATTING_ONLY,建立真正的一级标题样式并单独设计编号,创建一级标题14 pt黑体与编号方案候选,验证0与1起始逻辑、换页和不转行,YES,numbering.xml仅有单级decimal和无文本的Heading定义
HFUT-FMT-014,TEXTUALLY_EXPLICIT_REQUIREMENT,OOXML_PARAGRAPH,HFUT_FMT_DOC,document.xml P016,"1.1为普通文本；黑体；字号继承Normal 10.5",pt;number text,DIRECT_FORMATTING,CONSISTENT,二级标题视觉属性得到直接格式证据但无多级自动编号,DIRECT_FORMATTING_ONLY,创建二级标题并在POC验证多级列表,创建二级标题10.5 pt黑体候选,验证1.1编号稳定性和交叉引用,YES,不得根据视觉文本宣称已有自动编号
HFUT-FMT-015,TEXTUALLY_EXPLICIT_REQUIREMENT,OOXML_PARAGRAPH,HFUT_FMT_DOC,document.xml P017 and P020,"1.1.1为普通文本；楷体；字号继承Normal 10.5",pt;number text,DIRECT_FORMATTING,CONSISTENT,三级标题视觉属性得到直接格式证据但无多级自动编号,DIRECT_FORMATTING_ONLY,创建三级标题并在POC验证多级列表,创建三级标题10.5 pt楷体候选,验证1.1.1编号稳定性和交叉引用,YES,不得根据视觉文本宣称已有自动编号
HFUT-FMT-023,STYLE_EMBEDDED_PENDING_STEP3,OOXML_OBJECT,HFUT_FMT_DOC,"document.xml object paragraphs 38-43; numbering.xml","式(1)-(4)编号为同段普通文本/空格定位；0 tab；0 field；0 table",count and text,MIXED_FORMATTING,CONVERSION_AMBIGUOUS,编号不是字段或表格；公式含10个MathType候选OLE与1个OMML节点,CONFIRMED_BY_STYLE_EVIDENCE,不要复制空格定位；Step 4设计可维护的右侧编号方案,创建公式与编号POC样式,验证Word/MathType编辑、对齐、换行和引用,YES,OMML不等同于MathType；OLE可编辑性未验收
HFUT-FMT-028,STYLE_EMBEDDED_PENDING_STEP3,OOXML_SECTION_AND_STYLE,HFUT_FMT_DOC,"sectPr[1-2]; styles.xml Normal/Style19; P013-P021","A4及2.4/2.0/2.3/2.3 cm页边距；正文10.5 pt；样例首行21-21.9 pt；Style19精确16 pt",cm;pt,MIXED_FORMATTING,CONSISTENT,页面参数确认；正文首行缩进和行距有候选但实际段落直设占主导,CONFIRMED_BY_STYLE_EVIDENCE,Step 4集中为命名样式并经POC选择,创建页面/正文样式候选,验证单栏到双栏、两字符缩进及分页,YES,不把示例中的所有分节和首首页设置直接复制
HFUT-FMT-029,PENDING_VERIFICATION,OOXML_PARAGRAPH,HFUT_FMT_DOC,document.xml body paragraphs,未发现可完整表达通用标点数字及外文字母细则的命名样式或规则,text,MIXED_FORMATTING,CONSISTENT,样式解析不能补足写作规范,NOT_RESOLVED_IN_STEP3,保留Step 2 pending并在后续来源核验,无自动模板动作,另设内容审查清单,YES,格式证据不能替代文字规范
HFUT-FIG-004,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_OOXML,HFUT_FIG_DOC,"document.xml P004; embeddings and w:object","Visio 8 pt与其他图六号为分开的文字要求；内部对象字体未能从OOXML可靠读取",pt;Word font size,MIXED_FORMATTING,CONVERSION_AMBIGUOUS,不得统一两类图中文字字号,NOT_RESOLVED_IN_STEP3,保持Visio 8 pt与其他图六号双轨规则,不在reference.docx中强制覆盖对象内部字体,分别制作Visio与非Visio图POC,YES,遵循CG-FIG-TEXT-SIZE决定
HFUT-FIG-017,VISUAL_EXAMPLE_ONLY,TEXT_PLUS_OOXML,HFUT_FIG_DOC,"styles.xml Style14/Style17; document.xml P013/P018/P019; rendered pages 1-2",图题命名样式为7.5 pt黑体加粗居中；实际图题多为Normal加直接格式,pt,MIXED_FORMATTING,CONSISTENT,六号黑体居中得到样式和多个示例支持但仍属示例级证据,CONFIRMED_BY_STYLE_EVIDENCE,可作为Step 4图题候选而非升级来源强度,创建图题7.5 pt黑体居中候选,验证单双栏图题、长题换行和中英文需求,YES,实际段落未一致使用已存在的图题注样式
HFUT-FIG-018,PENDING_VERIFICATION,PACKAGE_AND_RENDER,HFUT_FIG_DOC,"word/media/*; rendered pages 1-4",12个WMF/EMF预览且页面图像清晰；未取得通用DPI/颜色模式/线宽规则,count,MIXED_FORMATTING,CONSISTENT,转换分析不能补足未写明的投稿参数,NOT_RESOLVED_IN_STEP3,继续向期刊核验文件格式和分辨率,不在模板硬编码未知图像参数,用实际论文图验证清晰度与输出链,YES,像素比较仅为转换诊断
HFUT-FIG-019,PENDING_WINDOWS_VISUAL_CHECK,TEXT_PLUS_RENDER,HFUT_FIG_DOC,"document.xml P049-P050; rendered page 4","正文写图11而图题写图9",figure number,DIRECT_FORMATTING,CONSISTENT,连续编号规则优先；该示例错误按权威决定处置为RESOLVED_BY_AUTHORITY,CONFIRMED_BY_TEXT_AND_STYLE,模板使用自动连续编号且不复制错误图号,设计自动题注编号,验证增删图后的连续编号和引用更新,YES,遵循CG-FIG-EXAMPLE-NUMBER决定
HFUT-FIG-020,PENDING_VERIFICATION,OOXML_PARAGRAPH,HFUT_FIG_DOC,document.xml P013-P050,仅中文图题示例；未检出通用双语图题或统一图例样式,text,MIXED_FORMATTING,CONSISTENT,Step 3未解决图例和双语图题要求,NOT_RESOLVED_IN_STEP3,向期刊确认后再定,先创建中文图题候选且不强制英文图题,验证中英文双题可选方案,YES,不得由缺失示例推断禁止英文图题
HFUT-TBL-003,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_TABLE_OOXML,HFUT_TABLE_DOC,"document.xml P005; tables[1-5]; rendered page 1",5个实际表格；多数采用无内部竖线的三线结构,count,MIXED_FORMATTING,CONSISTENT,三线表规则得到文字与表格边框证据支持,CONFIRMED_BY_TEXT_AND_STYLE,创建受控三线表而非复制每个示例例外,创建连续表号与三线表候选,验证跨页、合并单元格和分栏,YES,表4为竖表转栏示例含双竖线例外
HFUT-TBL-004,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_TABLE_OOXML,HFUT_TABLE_DOC,"document.xml P005; tables[1-5] tcBorders","常规示例含顶/底1 pt与次线0.5 pt；另有1.5 pt、0.25 pt double等示例特例",pt,DIRECT_FORMATTING,CONSISTENT,1/0.5/1 pt规则确认；其他线宽不提升为通用规范,CONFIRMED_BY_TEXT_AND_STYLE,Step 4只实现权威常规线宽并保留特例手工入口,创建1/0.5/1 pt边框样式,检查Word渲染线宽和PDF输出,YES,边框主要位于单元格直接属性而非表样式
HFUT-TBL-005,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_STYLE,HFUT_TABLE_DOC,"styles.xml Style15/Style17; table cells","表内容样式为宋体/Times New Roman 7.5 pt；实际表格直接格式含6.5/7.5 pt",pt,MIXED_FORMATTING,CONSISTENT,六号表内字体得到命名样式支持但示例含局部例外,CONFIRMED_BY_STYLE_EVIDENCE,以7.5 pt作为通用候选并避免复制注释性6.5 pt run,创建表内容7.5 pt宋体/TNR候选,验证中英文、上下标和窄列换行,YES,表格Normal的Latin字体为Calibri，必须由专用样式覆盖
HFUT-TBL-010,VISUAL_EXAMPLE_ONLY,TEXT_PLUS_STYLE,HFUT_TABLE_DOC,"styles.xml Style14/Style16; document.xml P013/P027/P092",表题样式为7.5 pt黑体加粗居中；实际表题存在居中、右对齐和9 pt例外,pt,MIXED_FORMATTING,CONSISTENT,六号黑体候选获样式支持但示例排法不一致,CONFIRMED_BY_STYLE_EVIDENCE,采用通用居中候选并保留单位右上角的独立实现,创建表题7.5 pt黑体居中候选,验证长表题、单位行和单双栏,YES,不能将表2右对齐或表4 9 pt提升为通用规则
HFUT-TBL-012,STYLE_EMBEDDED_PENDING_STEP3,TABLE_OOXML,HFUT_TABLE_DOC,tables[1-5],"对齐start/center；单元格左右边距108 twips(5.4 pt)；gridSpan=2；vMerge=8；表4含内部双竖线；未检出续表",twips;pt;count,DIRECT_FORMATTING,CONSISTENT,取得示例级布局数据但无法形成统一续表/注释/双语表题规则,DIRECT_FORMATTING_ONLY,把5.4 pt留白作为POC候选并为跨页续表另行设计,建立表格布局POC而非复制全部示例,测试跨页续表、注释、合并和横表,YES,表5注释位于表外；未出现真实续表示例
HFUT-REF-001,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_ONLY,HFUT_REF_DOC,document.xml P002,正文声明GB/T 7714—2025但本轮未读取标准正文,standard identifier,DIRECT_FORMATTING,CONSISTENT,标准来源链继续pending,NOT_RESOLVED_IN_STEP3,等待获授权且可验证的标准来源链,reference.docx阶段不自行补造标准细则,在Step 6验证著录实现,YES,遵循CG-GBT-SOURCE-CHAIN；本轮未OCR
HFUT-REF-002,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_OOXML,HFUT_REF_DOC,"document.xml P003 and P006-P041",条目7.5 pt；中文宋体/英文Times New Roman；精确14 pt行距；悬挂约11.35-19.8 pt且不一致,pt,MIXED_FORMATTING,CONSISTENT,字体字号行距确认；悬挂缩进存在但样例值不统一,CONFIRMED_BY_TEXT_AND_STYLE,建立统一参考文献样式并在POC选择悬挂值,创建7.5 pt宋体/TNR精确14 pt参考文献样式候选,验证编号宽度、长URL、中英文混排和跨栏,YES,无专用参考文献命名样式；编号为普通文本且无numPr
HFUT-REF-016,PENDING_VERIFICATION,TEXT_AND_NUMBERING,HFUT_REF_DOC,document.xml examples P006-P041,示例出现“等”和“et al.”但无阈值规则且无自动机制,text,DIRECT_FORMATTING,CONSISTENT,作者省略阈值未解决,NOT_RESOLVED_IN_STEP3,待GB/T来源链或期刊确认,不在样式模板推断阈值,Step 6测试文献处理规则,YES,与CG-GBT-SOURCE-CHAIN关联
HFUT-REF-017,PENDING_VERIFICATION,OOXML_PARAGRAPH,HFUT_REF_DOC,document.xml P006-P041,中文条目后未见统一英文对照段落,text,DIRECT_FORMATTING,CONSISTENT,缺失示例不能证明无需英文对照,NOT_RESOLVED_IN_STEP3,向期刊确认,模板暂不强制生成英文对照,用双语参考文献样例做可选POC,YES,保持Step 2 pending
HFUT-REF-018,PENDING_VERIFICATION,OOXML_PARAGRAPH,HFUT_REF_DOC,document.xml P006-P041,仅部分在线资源含DOI或URL且无通用必填语句,text,DIRECT_FORMATTING,CONSISTENT,DOI通用必填性未解决,NOT_RESOLVED_IN_STEP3,待GB/T来源链或期刊确认,不在模板中强制所有条目DOI,Step 6验证各文献类型,YES,与CG-GBT-SOURCE-CHAIN关联
GBT-001,TEXT_EXTRACTION_PENDING,NO_NEW_SOURCE,,N/A,本轮按授权边界未OCR GB/T副本,N/A,UNDETERMINED,NOT_APPLICABLE,来源链状态不变,NOT_RESOLVED_IN_STEP3,等待后续明确授权的方法,无Step 4模板动作,无,NO,Step 3未自行建立标准来源链
