audit_id,rule_id,source_id,source_authority,requirement,requirement_class,target_part_or_style,expected_value,actual_value_full,actual_value_anonymous,actual_source,automatic_result,visual_result,windows_result,compliance_status,governance_status,blocking_for_phase2_5,blocking_for_phase3,required_action,notes
JFR-011,HFUT-WEB-009;HFUT-WEB-010;HFUT-FMT-005;HFUT-FMT-011,HFUT_WEB_EXCERPT_PDF;HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Bilingual keyword styles; >=4 Chinese keywords; paired order,TEXTUALLY_EXPLICIT,HFUTKeywords*,Required styles used; final content pending,"{""HFUTKeywordsBodyCN"":1,""HFUTKeywordsBodyEN"":1,""HFUTKeywordsLabelCN"":1,""HFUTKeywordsLabelEN"":1}","{""HFUTKeywordsBodyCN"":1,""HFUTKeywordsBodyEN"":1,""HFUTKeywordsLabelCN"":1,""HFUTKeywordsLabelEN"":1}",DOCX style usage,PASS,Four synthetic keywords,FINAL_CONTENT_PENDING,FINAL_CONTENT_PENDING,NO_DRIFT,NO,YES,Validate final keyword meaning/count/order,
JFR-012,HFUT-FMT-006,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Chinese Library Classification field exists,TEXTUALLY_EXPLICIT,HFUTClassification,Field/style present; real value required,1,1,DOCX style usage,PASS,Placeholder only,FINAL_CONTENT_PENDING,FINAL_CONTENT_PENDING,NO_DRIFT,NO,YES,Determine and author-confirm final classification,
JFR-013,HFUT-FMT-012,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Body Chinese Songti and Latin Times New Roman at 10.5 pt,TEXTUALLY_EXPLICIT,HFUTBody,宋体/Times New Roman; 10.5 pt,"{""alignment"":""both"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{""firstLine"":""200"",""hanging"":"""",""left"":"""",""right"":""""},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTBody"",""table_properties"":null,""type"":""paragraph""}","{""alignment"":""both"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{""firstLine"":""200"",""hanging"":"""",""left"":"""",""right"":""""},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTBody"",""table_properties"":null,""type"":""paragraph""}",DOCX styles.xml,PASS,Preview supports candidate,WINDOWS_FINAL_REQUIRED,PASS_TEXTUALLY_EXPLICIT,NO_DRIFT,NO,NO,Retain and scan final direct formatting,
JFR-014,HFUT-FMT-028,HFUT_FMT_DOC,STYLE_EVIDENCE_CONFIRMED,Body first-line 200 twips and exact 16-pt spacing,PROJECT_DERIVED_CANDIDATE,HFUTBody,firstLine=200; exact 320 twips,"{""alignment"":""both"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{""firstLine"":""200"",""hanging"":"""",""left"":"""",""right"":""""},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTBody"",""table_properties"":null,""type"":""paragraph""}","{""alignment"":""both"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{""firstLine"":""200"",""hanging"":"""",""left"":"""",""right"":""""},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTBody"",""table_properties"":null,""type"":""paragraph""}",Style Map plus DOCX styles.xml,PASS,Preview supports candidate,WINDOWS_FINAL_REQUIRED,PASS_STYLE_EVIDENCE_CONFIRMED,NO_DRIFT,NO,NO,Retain project-derived candidate,
JFR-015,HFUT-FMT-013,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Introduction numbered 0 and uses level-1 heading role,TEXTUALLY_EXPLICIT,HFUTIntroHeading/numPr,numId=2 ilvl=0; rendered 0,"[{""direct_numPr"":{""ilvl"":""0"",""numId"":""2""},""direct_spacing"":null,""drawings"":0,""keepLines"":false,""keepNext"":false,""omath"":0,""omathPara"":0,""pageBreakBefore"":false,""style"":""HFUTIntroHeading"",""text"":""引言测试""}]","[{""direct_numPr"":{""ilvl"":""0"",""numId"":""2""},""direct_spacing"":null,""drawings"":0,""keepLines"":false,""keepNext"":false,""omath"":0,""omathPara"":0,""pageBreakBefore"":false,""style"":""HFUTIntroHeading"",""text"":""引言测试""}]",DOCX document.xml/numbering.xml,PASS,LibreOffice preview displays 0,WINDOWS_FINAL_REQUIRED,PASS_TEXTUALLY_EXPLICIT,NO_DRIFT,NO,NO,Retest edit/restart behavior in Word,
JFR-016,HFUT-FMT-013;HFUT-FMT-014;HFUT-FMT-015;HFUT-FMT-016,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Three heading levels: numbering/font/size and keep-next candidate,TEXTUALLY_EXPLICIT_AND_STYLE_EVIDENCE,HFUTHeading1/2/3,1/1.1/1.1.1; Heiti/Heiti/Kaiti; 14/10.5/10.5 pt,"{""HFUTHeading1"":{""alignment"":""left"",""basedOn"":""Normal"",""bold"":true,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""黑体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":true,""numbering"":{""ilvl"":""0"",""numId"":""1""},""size_half_points"":""28"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTHeading1"",""table_properties"":null,""type"":""paragraph""},""HFUTHeading2"":{""alignment"":""left"",""basedOn"":""Normal"",""bold"":true,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""黑体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":true,""numbering"":{""ilvl"":""1"",""numId"":""1""},""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTHeading2"",""table_properties"":null,""type"":""paragraph""},""HFUTHeading3"":{""alignment"":""left"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""楷体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":true,""numbering"":{""ilvl"":""2"",""numId"":""1""},""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTHeading3"",""table_properties"":null,""type"":""paragraph""}}","{""HFUTHeading1"":{""alignment"":""left"",""basedOn"":""Normal"",""bold"":true,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""黑体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":true,""numbering"":{""ilvl"":""0"",""numId"":""1""},""size_half_points"":""28"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTHeading1"",""table_properties"":null,""type"":""paragraph""},""HFUTHeading2"":{""alignment"":""left"",""basedOn"":""Normal"",""bold"":true,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""黑体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":true,""numbering"":{""ilvl"":""1"",""numId"":""1""},""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTHeading2"",""table_properties"":null,""type"":""paragraph""},""HFUTHeading3"":{""alignment"":""left"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""楷体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":true,""numbering"":{""ilvl"":""2"",""numId"":""1""},""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""320"",""lineRule"":""exact""},""style_id"":""HFUTHeading3"",""table_properties"":null,""type"":""paragraph""}}",DOCX styles.xml/numbering.xml,PASS,LibreOffice preview displays all three levels,WINDOWS_FINAL_REQUIRED,PASS_STYLE_EVIDENCE_CONFIRMED,NO_DRIFT,NO,NO,Word final no-wrap/keep-next check,
JFR-017,HFUT-FMT-018,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Equations are entered and editable with MathType,TEXTUALLY_EXPLICIT,equation objects,Editable MathType objects,3 OMML objects; no MathType embedding,3 OMML objects; no MathType embedding,DOCX OMML/embeddings inspection,NOT_AUTOMATABLE,OMML visible and historically editable in Word,WINDOWS_FINAL_REQUIRED,WINDOWS_FINAL_REQUIRED,NO_DRIFT,NO,NO,Convert/rebuild final equations in MathType during publication-asset stage,
JFR-018,HFUT-AUDIT-EQUATION-STYLE,WORD_V3_MANUAL_RESULT;WORD_V6_MANUAL_ACCEPTANCE,VALIDATED_WORD_RESULT,Display equation spacing avoids clipping/overlap,PROJECT_DERIVED_CANDIDATE,HFUTEquation,"Style Map, canonical, and v7 use atLeast 24 pt with 4/4 pt before/after","{""actual"":{""alignment"":""center"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""Times New Roman"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":false,""numbering"":null,""size_half_points"":""21"",""spacing"":{""after"":""80"",""before"":""80"",""line"":""480"",""lineRule"":""atLeast""},""style_id"":""HFUTEquation"",""table_properties"":null,""type"":""paragraph""},""style_map"":{""line_spacing_rule"":""atLeast"",""line_spacing_value"":""24"",""space_after_pt"":""4"",""space_before_pt"":""4""}}","{""actual"":{""alignment"":""center"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""Times New Roman"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":false,""numbering"":null,""size_half_points"":""21"",""spacing"":{""after"":""80"",""before"":""80"",""line"":""480"",""lineRule"":""atLeast""},""style_id"":""HFUTEquation"",""table_properties"":null,""type"":""paragraph""},""style_map"":{""line_spacing_rule"":""atLeast"",""line_spacing_value"":""24"",""space_after_pt"":""4"",""space_before_pt"":""4""}}",Style Map; canonical/v7 styles.xml; Word v3/v6 manual evidence,PASS,Word-export evidence found no clipping/overlap,WORD_RESULT_SUPPORTS_CANDIDATE,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Retain the synchronized validated project-derived candidate,
JFR-019,HFUT-FIG-002,HFUT_FIG_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Single-column figure width <=7.5 cm,TEXTUALLY_EXPLICIT,wp:extent,<=7.5 cm,"[{""cx_emu"":2591999,""cy_emu"":1511999,""height_cm"":4.2,""width_cm"":7.2}]","[{""cx_emu"":2591999,""cy_emu"":1511999,""height_cm"":4.2,""width_cm"":7.2}]",DOCX drawing extent,PASS,Figure visible in preview,WINDOWS_FINAL_REQUIRED,PASS_TEXTUALLY_EXPLICIT,NO_DRIFT,NO,NO,Validate every final figure extent,
JFR-020,HFUT-FIG-009;HFUT-FIG-010;HFUT-FIG-017,HFUT_FIG_DOC,TEXTUALLY_EXPLICIT_AND_EXAMPLE,Figure called out before placement; continuous number; caption candidate,MIXED_AUTHORITY,HFUTFigureCaption and paragraph order,Callout precedes figure; static Figure 1 candidate,1,1,DOCX paragraph order/style usage,PASS,Preview confirms order/caption,WINDOWS_FINAL_REQUIRED,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Final numbering and caption review; do not elevate caption example,
