rule_id,category,requirement_summary,requirement_level,source_id,source_filename,source_authority,source_locator,source_text_paraphrase,exact_numeric_value,unit,applies_to,implementation_layer,automatic_or_manual,validation_method,phase2_5_target_step,conflict_group,status,notes
"HFUT-WEB-011","GENERAL_MANUSCRIPT","稿件篇幅一般在10000字以内","RECOMMENDED","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.4 正文","全文通常不超过10000字","10000","Chinese characters maximum","full manuscript","MARKDOWN_SOURCE","AUTOMATIC","character-count script plus Word count comparison","FINAL_SUBMISSION_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-012","HEADING_BODY","引言应覆盖研究背景、问题与范围、相关文献、方法和主要结果，并尤其反映近2年成果","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.4 正文","指南用应规定引言内容，并强调最近2年研究","2","years","introduction","MARKDOWN_SOURCE","MANUAL","content and dated-literature review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT","近2年基于最终投稿时点滚动核验"
"HFUT-WEB-013","HEADING_BODY","结论应由观测和实验结果引申，不能简单复述结果，观点应明确且实事求是","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.4 正文","指南明确结论的证据和写法约束","","","conclusion","MARKDOWN_SOURCE","MANUAL","claim-evidence review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-014","HEADING_BODY","非公知外文缩写在正文首次出现时须给中文翻译或外文全称","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.4 正文","非常用缩写首次出现必须释义","","","body abbreviations","MARKDOWN_SOURCE","HYBRID","first-use glossary scan plus manual review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-015","HEADING_BODY","量和单位须符合国家法定计量单位最新标准，并区分大小写、正斜体、黑白体和上下标","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.5 量和单位","量、单位和外文字符形式必须规范","","","body; equations; figures; tables","MARKDOWN_SOURCE","HYBRID","symbol inventory plus Word visual review","FINAL_SUBMISSION_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT","最新标准版本需在最终投稿前复核"
"HFUT-WEB-016","FIGURE","图应自明、简明清晰，图中文字、符号和坐标标值清楚且与正文一致","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.6 图、表","图的自明性、清晰度及正文一致性是明确要求","","","all figures","WORD_MANUAL","MANUAL","figure-by-figure Word inspection","WINDOWS_WORD_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-017","FIGURE","图片应图像清晰、层次分明","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.6 图、表","图片须清晰且层次明确","","","raster or rendered figures","WORD_MANUAL","MANUAL","100% and print-preview inspection","WINDOWS_WORD_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT","未给出DPI"
"HFUT-WEB-018","TABLE","表格一律采用三线表","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.6 图、表","所有表格使用三线表","3","rules","all tables","POST_BUILD_OOXML","HYBRID","OOXML border inspection plus Word review","DOCX_POSTPROCESS","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-019","FIGURE_TABLE","图表数值须标明明确的量和单位","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.6 图、表","图表中的数值配套量与单位","","","figures and tables","MARKDOWN_SOURCE","HYBRID","axis/header audit plus visual review","FINAL_SUBMISSION_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-020","REFERENCES","参考文献按本刊下载中心格式著录","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.7 参考文献","指南要求严格遵循本刊参考文献附件","","","reference list","CSL","HYBRID","CSL output comparison against attachment patterns","STEP_6","","TEXTUALLY_EXPLICIT_REQUIREMENT","自动化能力待POC"
"HFUT-WEB-021","REFERENCES","应注意引用近3年国内外及本刊最新文献","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.7 参考文献","参考文献应覆盖近3年、国内外和本刊来源","3","years","reference selection","ZOTERO_BIBTEX","HYBRID","bibliography date/source distribution review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT","不要求为凑数引用无关文献"
"HFUT-WEB-022","REFERENCES","引用文献应为作者读过的主要文献且发表于正式出版物","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.7 参考文献","来源须真实、已读、主要且正式出版","","","reference selection","ZOTERO_BIBTEX","MANUAL","source-read ledger and publication verification","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT","不得虚构或自动纳入视觉样例论文"
"HFUT-WEB-023","REFERENCES","采用顺序编码制，序号按正文首次出现顺序排列并在相应处标出","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.7 参考文献","引用采用按出现顺序编号","","","citations and reference list","CSL","AUTOMATIC","citation-order validation in built DOCX","STEP_6","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-024","REFERENCES","参考文献一般不得少于8篇","RECOMMENDED","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.7 参考文献","通常至少8篇参考文献","8","references minimum","reference list","ZOTERO_BIBTEX","AUTOMATIC","bibliography entry count","FINAL_SUBMISSION_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT","只计真实、已读且实际引用的条目"
"HFUT-WEB-025","TITLE_AUTHOR_AFFILIATION","首页页脚作者简介包括姓名、出生年份、性别、籍贯、学位和职称","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.8 作者简介、基金项目","作者简介字段及首页页脚位置均被明确要求","","","author copy","WORD_MANUAL","MANUAL","first-page footer field review","WINDOWS_WORD_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT","匿名稿不保留作者相关信息"
"HFUT-WEB-026","TITLE_AUTHOR_AFFILIATION","基金项目存在时注明项目类型和编号","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.8 作者简介、基金项目","基金信息由类型与项目编号组成","","","funded manuscripts","MARKDOWN_SOURCE","MANUAL","funding source document comparison","FINAL_SUBMISSION_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT","仅在当前论文确有基金时适用；不得编造"
"HFUT-WEB-027","SUBMISSION_ANONYMIZATION","通过期刊网站注册并在线投稿","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 2.1 投稿约定","投稿渠道为目标期刊线上系统","","","submission process","WORD_MANUAL","MANUAL","submission portal checklist","FINAL_SUBMISSION_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-028","SUBMISSION_ANONYMIZATION","原稿和送审稿均使用Word文档","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 2.2 投稿约定","作者稿与送审稿文件格式均为Word","","Word document","author and review copies","PANDOC_BUILD","HYBRID","file extension and Word-open validation","STEP_7","","TEXTUALLY_EXPLICIT_REQUIREMENT","DOC或DOCX的精确扩展名未明确"
"HFUT-WEB-029","SUBMISSION_ANONYMIZATION","送审稿务必删除作者相关信息","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 2.2 投稿约定","匿名送审稿必须去除作者相关信息","","","review copy","WORD_MANUAL","MANUAL","content and document-inspector anonymization review","WINDOWS_WORD_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT","具体字段范围未逐项列明，另见HFUT-WEB-031"
"HFUT-WEB-030","SUBMISSION_ANONYMIZATION","投稿平台须准确填写所有作者联系方式","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 2; section 2.6 投稿约定","联系方式在投稿系统中完整准确填写","","","submission metadata","WORD_MANUAL","MANUAL","portal metadata review","FINAL_SUBMISSION_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT","联系方式不等于必须写入匿名稿"
"HFUT-WEB-031","SUBMISSION_ANONYMIZATION","匿名稿对基金、致谢、联系方式、文件属性、批注和修订记录的具体删除范围未逐项明确","PENDING_VERIFICATION","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 2.2 投稿约定","原文只说删除作者相关信息，未枚举所有潜在身份字段","","","review copy","WORD_MANUAL","MANUAL","journal confirmation plus Word Document Inspector","STEP_7","","PENDING_VERIFICATION","保守验收建议全部检查，但不得冒充已明确的投稿规则"
"HFUT-WEB-032","GENERAL_MANUSCRIPT","页面尺寸、页边距、分栏、正文段距和首行缩进未在网页摘录中给出","PENDING_VERIFICATION","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","pages 1-2; full extracted text review","未发现这些精确版式参数","","","document layout","REFERENCE_DOCX","HYBRID","Step 3 style/XML analysis and Windows comparison","STEP_3","","STYLE_EMBEDDED_PENDING_STEP3","不得依据成刊页面估算"
"HFUT-WEB-033","TITLE_AUTHOR_AFFILIATION","文章编号、收稿日期和修回日期是否由作者提供未在投稿指南摘录中明确","PENDING_VERIFICATION","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","pages 1-2; full extracted text review","必备稿件构成未列文章编号、收稿日期或修回日期","","","submission front matter","NOT_YET_DECIDED","MANUAL","journal confirmation and Step 3 source review","STEP_3","","PENDING_VERIFICATION","成刊页面出现这些字段只能构成EXAMPLE_ONLY"
"HFUT-FMT-001","TITLE_AUTHOR_AFFILIATION","中文题名不超过20字","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","heading 排版格式及相关要求; P002","附件候选标题括注明确20字上限","20","Chinese characters maximum","Chinese title","MARKDOWN_SOURCE","AUTOMATIC","Unicode Han-character count plus manual check","STEP_5","CG-TITLE-LENGTH","TEXTUALLY_EXPLICIT_REQUIREMENT","官方页面标题已在线核对；下载payload与本地文件未完成哈希链核验"
"HFUT-FMT-002","TITLE_AUTHOR_AFFILIATION","作者单位给出二级单位、省、市和邮编","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","front matter example; P003-P004","单位信息明确列出二级单位和地域邮编字段","","","Chinese affiliations","MARKDOWN_SOURCE","MANUAL","affiliation field checklist","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-003","ABSTRACT","中文摘要标签为小五号黑体，摘要正文为小五号宋体、14磅行距","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","front matter 摘要; P005","附件文字直接给出摘要标签、正文字体字号和行距","小五;14","Chinese font size; pt line spacing","Chinese abstract","REFERENCE_DOCX","HYBRID","Step 3 style inspection then Word measurement","STEP_3","","TEXTUALLY_EXPLICIT_REQUIREMENT","正式样式名称和继承关系待Step 3"
"HFUT-FMT-004","ABSTRACT","中文摘要以约300字为宜","RECOMMENDED","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","front matter 摘要; P005","附件建议摘要约300字","300","Chinese characters approximate","Chinese abstract","MARKDOWN_SOURCE","AUTOMATIC","character count with editorial tolerance","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT","与网页一般不少于150字兼容"
"HFUT-FMT-005","KEYWORDS_CLASSIFICATION","关键词标签为小五号黑体，内容为小五号宋体；选词规范并避免泛词","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","front matter 关键词; P006","附件给出关键词字体并要求避免泛词","小五","Chinese font size","Chinese keywords","REFERENCE_DOCX","HYBRID","style inspection plus terminology review","STEP_3","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-006","KEYWORDS_CLASSIFICATION","中图分类号为必填项","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","front matter 中图分类号; P007","附件明确标注中图分类号必填","","","front matter","MARKDOWN_SOURCE","MANUAL","classification lookup and subject review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT","示例TU 411.01不是当前论文分类号"
"HFUT-FMT-007","KEYWORDS_CLASSIFICATION","文献标识码A仅在附件样例中出现，作者是否填写及取值待核验","PENDING_VERIFICATION","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","front matter 中图分类号; P007","附件显示文献标识码A但未说明填写责任或通用性","A","code shown","front matter","NOT_YET_DECIDED","MANUAL","Step 3 visual/style review and journal confirmation","STEP_3","","PENDING_VERIFICATION","不得把示例A自动套用"
"HFUT-FMT-008","TITLE_AUTHOR_AFFILIATION","英文题名采用句首字母和专有名词大写","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","English title; P008","附件明确英文题名大小写方式","","","English title","MARKDOWN_SOURCE","HYBRID","capitalization linter plus manual proper-noun review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-009","TITLE_AUTHOR_AFFILIATION","英文作者姓名姓全大写、名首字母大写","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","English authors; P009","附件明确英文姓名大小写","","","English author names","MARKDOWN_SOURCE","HYBRID","name-format pattern and author confirmation","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-010","ABSTRACT","英文摘要使用五号Times New Roman，并与中文摘要文意一致","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","English abstract; P011","附件给出英文字体字号和双语一致要求","五号","font size","English abstract","REFERENCE_DOCX","HYBRID","Step 3 style inspection plus bilingual review","STEP_3","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-011","KEYWORDS_CLASSIFICATION","英文关键词与中文关键词词义、数量和顺序一致","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","English keywords; P012","附件明确三项一一对应","","","English keywords","MARKDOWN_SOURCE","HYBRID","paired-list comparison","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-012","HEADING_BODY","正文中文为五号宋体，英文为五号Times New Roman","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","正文起始; P013-P014","附件在正文起始处标明正文字体字号","五号","font size","body text","REFERENCE_DOCX","HYBRID","Step 3 style/XML inspection and Word review","STEP_3","","TEXTUALLY_EXPLICIT_REQUIREMENT","正文行距和段距未文字给出"
"HFUT-FMT-013","HEADING_BODY","引言编号为0，一级标题为四号黑体并顶格左排","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","heading examples; P013 and P016","附件明确引言与一级标题编号、字体字号和对齐","0;四号","heading number;font size","level-1 headings","REFERENCE_DOCX","HYBRID","heading-text scan and Word style review","STEP_3","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-014","HEADING_BODY","二级标题使用五号黑体，编号形式为1.1","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","heading examples; P017 and P023","附件给出二级标题字体字号和编号形式","五号","font size","level-2 headings","REFERENCE_DOCX","HYBRID","heading hierarchy scan and Word review","STEP_3","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-015","HEADING_BODY","三级标题使用五号楷体，编号形式为1.1.1","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","heading examples; P018-P021","附件给出三级标题字体字号和编号形式","五号","font size","level-3 headings","REFERENCE_DOCX","HYBRID","heading hierarchy scan and Word review","STEP_3","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-016","HEADING_BODY","各级标题不得转行","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","heading examples; P019","附件明确各级标题均不转行","","","all headings","WORD_MANUAL","MANUAL","Word pagination/layout review","WINDOWS_WORD_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-017","MATHEMATICAL_EXPRESSIONS","公式参照GB/T 7713.2—2022和GB 3102.11-93","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","section 2 公式要求; P026","附件明确引用两项公式规范","GB/T 7713.2—2022;GB 3102.11-93","standard identifiers","all equations","MATHTYPE_MANUAL","MANUAL","standard-copy access and equation audit","STEP_6","","TEXTUALLY_EXPLICIT_REQUIREMENT","两项标准正文未纳入当前输入，细则不可补写"
"HFUT-FMT-018","MATHEMATICAL_EXPRESSIONS","公式必须用MathType录入编辑并以正确数学形式表示","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","section 2 公式要求; P027","附件明确指定MathType且使用必须","","","all equations","MATHTYPE_MANUAL","MANUAL","Windows Word object inspection","STEP_7","","TEXTUALLY_EXPLICIT_REQUIREMENT","Markdown到MathType自动转换程度待Step 6 POC"
"HFUT-FMT-019","MATHEMATICAL_EXPRESSIONS","变量用斜体；角标一般正体，角标为变量时用斜体","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","section 2 公式要求; P028","附件明确变量和角标正斜体规则","","","equation symbols","MATHTYPE_MANUAL","MANUAL","symbol-by-symbol MathType review","STEP_7","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-020","MATHEMATICAL_EXPRESSIONS","除函数名和特殊物理量外变量用单字母，可加下标区分含义","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","section 2 公式要求; P029","附件规定一般变量的命名形式","1","letter","equation variables","MARKDOWN_SOURCE","MANUAL","notation inventory review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-021","MATHEMATICAL_EXPRESSIONS","矩阵、向量和矢量使用粗斜体字母","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","section 2 公式要求; P029 and P034","附件明确矩阵与向量字形","","","matrix and vector symbols","MATHTYPE_MANUAL","MANUAL","MathType visual inspection","STEP_7","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-FMT-022","MATHEMATICAL_EXPRESSIONS","字母符号表示的变量应随公式解释含义","MANDATORY","HFUT_FMT_DOC","《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc","OFFICIAL_JOURNAL_ATTACHMENT_CANDIDATE","section 2 公式要求; P036","附件明确公式符号释义","","","equations and following prose","MARKDOWN_SOURCE","MANUAL","equation-to-symbol-definition cross-check","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
