metric_id,experiment_id,metric_name,value,unit,direction,metric_definition,timing_boundary,sample_set,sample_count,warmup,measured_frames,run_count,aggregation,source_level,source_file,source_field_or_row,source_commit,source_archive,source_SHA256,recalculation_formula,recalculated_value,recalculation_difference,reproducible_from_present_evidence,evidence_status,comparable_to,supports_claim_id,limitations,notes
M_Q_INT8_MAP5095_DELTA,Q_TRT_INT8_ACCURACY,INT8_minus_FP16_mAP50_95,-0.0072051299,score,negative_is_loss,INT8 mAP50-95 minus FP16 mAP50-95,task-level evaluation,split-v2 test,180,NA,180,1,subtraction,Level 3,results/validation/stage_q/q5_accuracy_v1/metrics_summary.json,drops.mAP50-95,NA,Stage Q tracked evidence,0a969ef1417d201a063dc33df1e64453ffd3c1030418f99192aa76336b402f63,0.3523443910-0.3595495210,-0.0072051299,0,yes,DERIVED_VERIFIED,Q_TRT_INT8_ACCURACY,C4,retain negative direction,Report prints FP16 minus INT8; this row normalizes INT8 minus FP16
M_Q_SERIAL_INFERENCE_SPEEDUP,Q_TRT_INT8_SERIAL,inference_speedup_FP16_over_INT8,1.2698563804,x,higher_is_better,paired ratio; speedup baseline/optimized or throughput optimized/baseline,Stage Q Q6 serial timing boundary,split-v2 test paired runs,3,100 per process,5000 per process,3,arithmetic mean,Level 1,results/validation/stage_q/q6_serial_performance_v1/q6_serial_summary.json,primary_arithmetic_mean_ratios.inference_speedup,NA,Stage Q tracked evidence,ea01cc73a348ea42cae3b73dd2faf860c8ebc8df0b084862a0f847c0ddb3b25a,"mean(1.2703896090,1.2653351760,1.2738443562)",1.2698563804,0,yes,VERIFIED,same Q protocol only,C4,throughput ratio is not latency speedup,NA
M_Q_SERIAL_THROUGHPUT_RATIO,Q_TRT_INT8_SERIAL,throughput_ratio_INT8_over_FP16,1.1728497476,x,higher_is_better,paired ratio; speedup baseline/optimized or throughput optimized/baseline,Stage Q Q6 serial timing boundary,split-v2 test paired runs,3,100 per process,5000 per process,3,arithmetic mean,Level 1,results/validation/stage_q/q6_serial_performance_v1/q6_serial_summary.json,primary_arithmetic_mean_ratios.throughput_int8_over_fp16,NA,Stage Q tracked evidence,ea01cc73a348ea42cae3b73dd2faf860c8ebc8df0b084862a0f847c0ddb3b25a,"mean(1.1759862485,1.1621683164,1.1803946779)",1.1728497476,0,yes,VERIFIED,same Q protocol only,C4,throughput ratio is not latency speedup,NA
M_Q_PIPELINE_THROUGHPUT_RATIO,Q_TRT_INT8_PIPELINE,throughput_ratio_INT8_over_FP16,1.012575,x,higher_is_better,paired ratio; speedup baseline/optimized or throughput optimized/baseline,Stage Q Q7 pipeline throughput boundary,split-v2 test paired runs,3,100 per process,5000 per process,3,arithmetic mean,Level 1,results/benchmark/stage_q/q7_pipeline_v1/attempt_001/q7_pipeline_summary.json,mean_paired_throughput_ratio,NA,Stage Q tracked evidence,4d3a5a7d1b405b31536426ca50eef43b7265c9976870db9daf77c9fd9f8abc9a,"mean(1.012476,1.008504,1.016745)",1.012575,0,yes,VERIFIED,same Q protocol only,C4,throughput ratio is not latency speedup,NA
M_P_THROUGHPUT_RATIO,P_SERIAL_PIPELINE,throughput_ratio_Pipeline_over_Serial,4.165718,x,higher_is_better,paired offline Pipeline throughput divided by Serial throughput,offline wall throughput,three paired ratios,3,100,5000,6,arithmetic mean,Level 2,results/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5R_FINAL_RECLASSIFICATION_REPORT.md,Performance Classification,NOT_RECORDED,Stage P local archive,d1ff5e5ede449a1db73a6de5ecac0c550a3983eec9f7bedd923156e984b9ab02,"mean(4.158743,4.164089,4.174321)",4.165718,0,yes,DERIVED_VERIFIED,P protocol only,C5,offline throughput only; thermal unavailable,NA
M_P_THROUGHPUT_SD,P_SERIAL_PIPELINE,paired_throughput_ratio_sample_sd,0.007915,x,not_goal,sample SD of three paired throughput ratios,offline wall throughput,three paired ratios,3,100,5000,6,sample standard deviation,Level 2,results/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5R_FINAL_RECLASSIFICATION_REPORT.md,Performance Classification,NOT_RECORDED,Stage P local archive,d1ff5e5ede449a1db73a6de5ecac0c550a3983eec9f7bedd923156e984b9ab02,"stdev(4.158743,4.164089,4.174321)",0.007915,0,yes,DERIVED_VERIFIED,P protocol only,C5,no latency inference,NA
M_R_V0_FPS,R_V0,V0_FPS_mean,54.5999763574,FPS,higher_is_better,Stage R timing-aligned formal aggregate,source pull through pre-sink frame construction,V0 split-v2 test replay,5400,60,1080,5,mean of five run FPS,Level 3,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",6885dc5c8d1099c34f1cd8d10c4b30426df61daf,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,e03d4ae1a4cef1e943d4b3dc6b785e90342932623a74db03c223b196b74a7043,mean(raw run wall-derived FPS),54.5999763574,0,yes,DERIVED_VERIFIED,R_V0; R_V2R; R_V3R,C1,descriptive frozen Jetson path,MULTIPLE_RAW_FILES_COVERED_BY_ARCHIVE_MANIFEST; archive manifest SHA is not an individual metrics.json SHA
M_R_V0_FPS_SD,R_V0,V0_FPS_sample_sd,0.2233775769,FPS,not_goal,Stage R timing-aligned formal aggregate,source pull through pre-sink frame construction,V0 split-v2 test replay,5400,60,1080,5,sample SD of five run FPS,Level 3,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",6885dc5c8d1099c34f1cd8d10c4b30426df61daf,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,e03d4ae1a4cef1e943d4b3dc6b785e90342932623a74db03c223b196b74a7043,stdev(raw run FPS),0.2233775769,0,yes,DERIVED_VERIFIED,R_V0; R_V2R; R_V3R,C1,descriptive frozen Jetson path,MULTIPLE_RAW_FILES_COVERED_BY_ARCHIVE_MANIFEST; archive manifest SHA is not an individual metrics.json SHA
M_R_V0_LAT_MEAN,R_V0,V0_latency_mean,18.2729918109,ms,lower_is_better,Stage R timing-aligned formal aggregate,source pull through pre-sink frame construction,V0 split-v2 test replay,5400,60,1080,5,pooled mean,Level 3,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",6885dc5c8d1099c34f1cd8d10c4b30426df61daf,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,e03d4ae1a4cef1e943d4b3dc6b785e90342932623a74db03c223b196b74a7043,mean(all 5400 latency samples),18.2729918109,0,yes,DERIVED_VERIFIED,R_V0; R_V2R; R_V3R,C1,descriptive frozen Jetson path,MULTIPLE_RAW_FILES_COVERED_BY_ARCHIVE_MANIFEST; archive manifest SHA is not an individual metrics.json SHA
M_R_V0_P95,R_V0,V0_latency_p95,18.8541178,ms,lower_is_better,Stage R timing-aligned formal aggregate,source pull through pre-sink frame construction,V0 split-v2 test replay,5400,60,1080,5,pooled Type 7 P95,Level 3,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",6885dc5c8d1099c34f1cd8d10c4b30426df61daf,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,e03d4ae1a4cef1e943d4b3dc6b785e90342932623a74db03c223b196b74a7043,"Type7(all latency samples,.95)",18.8541178,0,yes,DERIVED_VERIFIED,R_V0; R_V2R; R_V3R,C1,descriptive frozen Jetson path,MULTIPLE_RAW_FILES_COVERED_BY_ARCHIVE_MANIFEST; archive manifest SHA is not an individual metrics.json SHA
M_R_V0_P99,R_V0,V0_latency_p99,19.06830438,ms,lower_is_better,Stage R timing-aligned formal aggregate,source pull through pre-sink frame construction,V0 split-v2 test replay,5400,60,1080,5,pooled Type 7 P99,Level 3,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",6885dc5c8d1099c34f1cd8d10c4b30426df61daf,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,e03d4ae1a4cef1e943d4b3dc6b785e90342932623a74db03c223b196b74a7043,"Type7(all latency samples,.99)",19.06830438,0,yes,DERIVED_VERIFIED,R_V0; R_V2R; R_V3R,C1,descriptive frozen Jetson path,MULTIPLE_RAW_FILES_COVERED_BY_ARCHIVE_MANIFEST; archive manifest SHA is not an individual metrics.json SHA
M_R_V2R_FPS,R_V2R,V2R_FPS_mean,122.1221922222,FPS,higher_is_better,Stage R timing-aligned formal aggregate,source pull through pre-sink frame construction,V2R split-v2 test replay,5400,60,1080,5,mean of five run FPS,Level 3,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v2r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V2R",6885dc5c8d1099c34f1cd8d10c4b30426df61daf,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,e03d4ae1a4cef1e943d4b3dc6b785e90342932623a74db03c223b196b74a7043,mean(raw run wall-derived FPS),122.1221922222,0,yes,DERIVED_VERIFIED,R_V0; R_V2R; R_V3R,C1,descriptive frozen Jetson path,MULTIPLE_RAW_FILES_COVERED_BY_ARCHIVE_MANIFEST; archive manifest SHA is not an individual metrics.json SHA
M_R_V2R_FPS_SD,R_V2R,V2R_FPS_sample_sd,0.4918299468,FPS,not_goal,Stage R timing-aligned formal aggregate,source pull through pre-sink frame construction,V2R split-v2 test replay,5400,60,1080,5,sample SD of five run FPS,Level 3,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v2r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V2R",6885dc5c8d1099c34f1cd8d10c4b30426df61daf,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,e03d4ae1a4cef1e943d4b3dc6b785e90342932623a74db03c223b196b74a7043,stdev(raw run FPS),0.4918299468,0,yes,DERIVED_VERIFIED,R_V0; R_V2R; R_V3R,C1,descriptive frozen Jetson path,MULTIPLE_RAW_FILES_COVERED_BY_ARCHIVE_MANIFEST; archive manifest SHA is not an individual metrics.json SHA
M_R_V2R_LAT_MEAN,R_V2R,V2R_latency_mean,8.1402787896,ms,lower_is_better,Stage R timing-aligned formal aggregate,source pull through pre-sink frame construction,V2R split-v2 test replay,5400,60,1080,5,pooled mean,Level 3,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v2r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V2R",6885dc5c8d1099c34f1cd8d10c4b30426df61daf,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,e03d4ae1a4cef1e943d4b3dc6b785e90342932623a74db03c223b196b74a7043,mean(all 5400 latency samples),8.1402787896,0,yes,DERIVED_VERIFIED,R_V0; R_V2R; R_V3R,C1,descriptive frozen Jetson path,MULTIPLE_RAW_FILES_COVERED_BY_ARCHIVE_MANIFEST; archive manifest SHA is not an individual metrics.json SHA
