result_id,metric_id,variant_or_comparison,metric_name,frozen_value,unit,direction,display_value,display_precision,aggregation,sample_set,source_file,source_field_or_row,evidence_status,claim_id,intended_use,limitations
S4R011,M_R_V0_LAT_MEAN,V0,V0_latency_mean,18.2729918109,ms,lower_is_better,18.273,3 decimals,pooled mean,V0 split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",DERIVED_VERIFIED,C1,F3;FACT_PACKET,Pooled 5400-sample descriptive metric
S4R012,M_R_V0_P95,V0,V0_latency_p95,18.8541178,ms,lower_is_better,18.854,3 decimals,pooled Type 7 P95,V0 split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",DERIVED_VERIFIED,C1,F3;FACT_PACKET,Pooled 5400-sample descriptive metric
S4R013,M_R_V0_P99,V0,V0_latency_p99,19.06830438,ms,lower_is_better,19.068,3 decimals,pooled Type 7 P99,V0 split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",DERIVED_VERIFIED,C1,F3;FACT_PACKET,Pooled 5400-sample descriptive metric
S4R014,M_R_V2R_LAT_MEAN,V2R,V2R_latency_mean,8.1402787896,ms,lower_is_better,8.140,3 decimals,pooled mean,V2R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v2r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V2R",DERIVED_VERIFIED,C1,F3;FACT_PACKET,Pooled 5400-sample descriptive metric
S4R015,M_R_V2R_P95,V2R,V2R_latency_p95,9.82713435,ms,lower_is_better,9.827,3 decimals,pooled Type 7 P95,V2R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v2r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V2R",DERIVED_VERIFIED,C1,F3;FACT_PACKET,Pooled 5400-sample descriptive metric
S4R016,M_R_V2R_P99,V2R,V2R_latency_p99,11.52898548,ms,lower_is_better,11.529,3 decimals,pooled Type 7 P99,V2R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v2r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V2R",DERIVED_VERIFIED,C1,F3;FACT_PACKET,Pooled 5400-sample descriptive metric
S4R017,M_R_V3R_LAT_MEAN,V3R,V3R_latency_mean,7.8118285628,ms,lower_is_better,7.812,3 decimals,pooled mean,V3R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v3r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V3R",DERIVED_VERIFIED,C1,F3;FACT_PACKET,Pooled 5400-sample descriptive metric
S4R018,M_R_V3R_P95,V3R,V3R_latency_p95,9.8420113,ms,lower_is_better,9.842,3 decimals,pooled Type 7 P95,V3R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v3r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V3R",DERIVED_VERIFIED,C1,F3;FACT_PACKET,Pooled 5400-sample descriptive metric
S4R019,M_R_V3R_P99,V3R,V3R_latency_p99,11.5153358,ms,lower_is_better,11.515,3 decimals,pooled Type 7 P99,V3R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v3r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V3R",DERIVED_VERIFIED,C1,F3;FACT_PACKET,Pooled 5400-sample descriptive metric
S4R020,M_R_V2R_V0_FPS_RATIO,V2R/V0,fps_ratio_V2R_over_V0,2.2366711557,x,higher_is_better,2.236671,6 decimals,derived pairwise comparison,variant aggregate pair,PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,descriptive pairwise ratios,DERIVED_VERIFIED,C2,FACT_PACKET,Throughput ratio; not latency speedup
S4R021,M_R_V2R_V0_FPS_INCREASE,V2R/V0,fps_increase_V2R_vs_V0,123.6671,percent,higher_is_better,123.6671,4 decimals,derived pairwise comparison,variant aggregate pair from five raw run files per variant,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json and formal_runs/set_*_v2r/metrics.json (five files per variant),V2R/V0 aggregate FPS,DERIVED_VERIFIED,C2,FACT_PACKET,Percentage increase; not total acceleration
S4R022,M_R_V2R_V0_LAT_REDUCTION,V2R/V0,mean_latency_reduction_V2R_vs_V0,55.4518555371,percent,higher_is_better,55.4519,4 decimals,derived pairwise comparison,variant aggregate pair,PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,descriptive pairwise ratios,DERIVED_VERIFIED,C2,FACT_PACKET,Percentage reduction under common Stage R boundary
S4R023,M_R_V2R_V0_P95_REDUCTION,V2R/V0,p95_latency_reduction_V2R_vs_V0,47.8780,percent,higher_is_better,47.8780,4 decimals,derived pairwise comparison,variant aggregate pair,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,descriptive pairwise ratios,DERIVED_VERIFIED,C2,FACT_PACKET,Percentage comparison under common Stage R boundary
S4R024,M_R_V2R_V0_P99_REDUCTION,V2R/V0,p99_latency_reduction_V2R_vs_V0,39.5385,percent,higher_is_better,39.5385,4 decimals,derived pairwise comparison,variant aggregate pair,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,descriptive pairwise ratios,DERIVED_VERIFIED,C2,FACT_PACKET,Percentage comparison under common Stage R boundary
S4R025,M_R_V3R_V2R_FPS_INCREASE,V3R/V2R,fps_increase_V3R_vs_V2R,4.0738428768,percent,higher_is_better,+4.0738,4 decimals,derived pairwise comparison,variant aggregate pair,PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,descriptive pairwise ratios,DERIVED_VERIFIED,C3,FACT_PACKET,Marginal average gain under tested path
S4R026,M_R_V3R_V2R_LAT_REDUCTION,V3R/V2R,mean_latency_reduction_V3R_vs_V2R,4.0349,percent,higher_is_better,4.0349,4 decimals,derived pairwise comparison,variant aggregate pair,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,descriptive pairwise ratios,DERIVED_VERIFIED,C3,FACT_PACKET,Percentage comparison under common Stage R boundary
S4R027,M_R_V3R_V2R_P95_CHANGE,V3R/V2R,p95_change_V3R_vs_V2R,0.1513864517,percent,lower_is_better,+0.1514,4 decimals,derived pairwise comparison,variant aggregate pair,PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,descriptive pairwise ratios,DERIVED_VERIFIED,C3,FACT_PACKET,Positive means V3R latency increased and is slightly slower
S4R028,M_R_V3R_V2R_P99_CHANGE,V3R/V2R,p99_change_V3R_vs_V2R,-0.1183944591,percent,lower_is_better,-0.1184,4 decimals,derived pairwise comparison,variant aggregate pair,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,descriptive pairwise ratios,DERIVED_VERIFIED,C3,FACT_PACKET,Negative means V3R latency decreased and is slightly faster
