raw_asset_id,formal_retrieval_id,formal_id_status,formal_id_basis,asset_class,relative_path,filename,extension,size_bytes,sha256,duplicate_group,duplicate_status,pdf_pages,pdf_metadata_title,pdf_metadata_author,doi_candidate,metadata_extraction_status,archive_status,notes
RAW011,,NOT_APPLICABLE,,OFFICIAL_DOCUMENTATION,SUPP_jetpack_6.1_release_notes.pdf,SUPP_jetpack_6.1_release_notes.pdf,.pdf,117406,46b1a0238ec100c32d4f3deb0d19cbf5599cc930baedef14d6f4112f19379131,,UNIQUE,2,JetPack 6.1 Release Notes — JetPack 6.1 documentation,,,EXTRACTED,PRESENT,SUPP asset; no D04/D05 assigned
RAW012,,NOT_APPLICABLE,,OFFICIAL_DOCUMENTATION,SUPP_jetpack_6.2.2_official_2026-08-07.pdf,SUPP_jetpack_6.2.2_official_2026-08-07.pdf,.pdf,369311,ab80f063d7257643f7f4fca7d2a09132c3d34356fc4d39efe9625e83665ec1f8,,UNIQUE,8,JetPack SDK _ NVIDIA Developer,<BFADC2D7>,,EXTRACTED,PRESENT,SUPP asset; no D04/D05 assigned
RAW013,,NOT_APPLICABLE,,OFFICIAL_DOCUMENTATION,SUPP_tensorrt_11.2.1_current_documentation_2026-08-07.pdf,SUPP_tensorrt_11.2.1_current_documentation_2026-08-07.pdf,.pdf,734832,f99290f60150b876f43de4a3d5bcde79570bbb13b4bcb2e6d03fa833cc30cef6,,UNIQUE,3,NVIDIA TensorRT Documentation — NVIDIA TensorRT,,,EXTRACTED,PRESENT,SUPP asset; no D04/D05 assigned
RAW014,,NOT_APPLICABLE,,OFFICIAL_DOCUMENTATION,SUPP_ultralytics_yolov8_official_docs.pdf,SUPP_ultralytics_yolov8_official_docs.pdf,.pdf,1368616,1673dc7d92415b781ab155fdbfd6ae292cf01f7281edbb0e23ca4bb02a642501,,UNIQUE,6,Explore Ultralytics YOLOv8 _ Ultralytics,<BFADC2D7>,,EXTRACTED,PRESENT,SUPP asset; no D04/D05 assigned
RAW015,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,calabrese_et_al_2025_pcb_mask_rcnn_yolov8_aoi.pdf,calabrese_et_al_2025_pcb_mask_rcnn_yolov8_aoi.pdf,.pdf,3475439,e7bfd70cbf64fdfc28e0634a9b6732e72f2ed38a2e6913c24253e216783d0049,,UNIQUE,26,Application of Mask R-CNN and YOLOv8 algorithms for defect detection in printed circuit board manufacturing,Maurizio Calabrese,10.1007/s42452-025-06641-x,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW016,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,j.apsusc.2013.09.002.pdf,j.apsusc.2013.09.002.pdf,.pdf,2229023,70fe03d0034c86b41206f4ad25091055c4f268997ec749eb9058bc63f3ac6ba1,,UNIQUE,7,A noise robust method based on completed local binary patterns for hot-rolled steel strip surface defects,Kechen Song,10.1016/j.apsusc.2013.09.002,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW017,,NOT_APPLICABLE,,BIB_METADATA,kim_lee_kim_2024_hyq_post_training_quantization.bib,kim_lee_kim_2024_hyq_post_training_quantization.bib,.bib,643,e1a28ac59db890b5f35e9d57b6b777ee62d7b34e6ccfdf6250e1fd10bd99356c,,UNIQUE,,,,,NOT_APPLICABLE,PRESENT,External candidate metadata only; not merged into references.bib
RAW018,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,kim_lee_kim_2024_hyq_post_training_quantization.pdf,kim_lee_kim_2024_hyq_post_training_quantization.pdf,.pdf,1435198,90a18f2a26791b54d92bd819f4b647d13690186fcff39f751c0ffc3f52bb7044,,UNIQUE,9,HyQ: Hardware-Friendly Post-Training Quantization for CNN-Transformer Hybrid Networks,"Nam Joon Kim, Jongho Lee, Hyun Kim",,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW019,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,lema_et_al_2025_surface_defect_benchmark.pdf,lema_et_al_2025_surface_defect_benchmark.pdf,.pdf,2724477,31c710475d9c1cb3479a42b89bf533a2356bbb1b0a1f2c8d6456d9fc31c538ff,,UNIQUE,18,,,10.1007/s10845-025-02672-8,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW020,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,liu_liu_guo_etal_2025_slf_yolo_metal_surface_defects.pdf,liu_liu_guo_etal_2025_slf_yolo_metal_surface_defects.pdf,.pdf,6415647,df1bec66636e288e5b6171187b5362af6d05e2fb2eb3d5302c27a9426a569e2a,,UNIQUE,20,,,10.1038/s41598-025-94936-9,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW021,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,lu_yu_liu_2024_ss_yolo_strip_steel_defect.pdf,lu_yu_liu_2024_ss_yolo_strip_steel_defect.pdf,.pdf,2749123,f4e79ad54ad4a20e7aa1f37b11906f0b2fa8c725d22034f583fdb5c513db9f0e,,UNIQUE,15,Lightweight strip steel defect detection algorithm based on improved YOLOv7,Jianbo Lu,10.1038/s41598-024-64080-x,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW022,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,shao_et_al_2024_td_net_tiny_industrial_defects.pdf,shao_et_al_2024_td_net_tiny_industrial_defects.pdf,.pdf,1815402,eb334c091d3b1f87081c641d514879c9e24fb18e880a00d86c7283820ab930d9,,UNIQUE,12,TD-Net:tiny defect detection network for industrial products,Rui Shao,10.1007/s40747-024-01362-x,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW023,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,shen_et_al_2024_pcba_yolov5.pdf,shen_et_al_2024_pcba_yolov5.pdf,.pdf,5126655,162e082744a9268f8127100d530aa2b171fcde0959ce844cc79196370913b15c,,UNIQUE,16,Defect detection of printed circuit board assembly based on YOLOv5,Minghui Shen,10.1038/s41598-024-70176-1,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW024,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,.pdf,2093585,01627a05d566331a9afbd3add332398d6040e85400925bd6934c8a7328115702,,UNIQUE,19,A Deep Learning Framework Performance Evaluation to Use YOLO in Nvidia Jetson Platform,Dong-Jin Shin and Jeong-Joon Kim,10.3390/app12083734,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW025,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,.pdf,6140148,56e4400ba93d4c88e5893711fcc20c354d04b9b05e0c265ca352850e498da71f,,UNIQUE,9,High-speed railway track components inspection framework based on YOLOv8 with high-performance model deployment,Youzhi Tang,10.1016/j.hspr.2024.02.001,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW026,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,wei_bao_zheng_etal_2025_amfnet_steel_surface_defects.pdf,wei_bao_zheng_etal_2025_amfnet_steel_surface_defects.pdf,.pdf,1845055,56e5bb2ad29e47a3c9de433a2744b744f5b6d2f11472b5c83bd974409cde12f5,,UNIQUE,18,AMFNet: aggregated multi-level feature interaction fusion network for defect detection on steel surfaces,Changyun Wei,10.1007/s10845-025-02613-5,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW027,,UNRESOLVED,No authoritative ID-to-filename mapping found; filename semantics not used,RESEARCH_PAPER,weiss_et_al_2024_realtime_electronic_component_inspection.pdf,weiss_et_al_2024_realtime_electronic_component_inspection.pdf,.pdf,6174498,4feb2104e07eaa925828f9bca6f2ed574c367f889c36a084749702db58110eee,,UNIQUE,18,Real-Time Defect Detection in Electronic Components during Assembly through Deep Learning,"Eyal Weiss, Shir Caplan, Kobi Horn and Moshe Sharabi",10.3390/electronics13081551,EXTRACTED,PRESENT,No authoritative ID-to-filename mapping found; filename semantics not used
RAW028,,NOT_APPLICABLE,,JOURNAL_GUIDELINE,《合肥工业大学学报（自然科学版）》参考文献要求及示例.doc,《合肥工业大学学报（自然科学版）》参考文献要求及示例.doc,.doc,49664,5ef440b270b73bad6a57ade6a68e35032c6a5e9829dbd45c05b4574dabb0f651,,UNIQUE,,,,,NOT_APPLICABLE,PRESENT,Journal guideline asset; no formal retrieval ID assigned
RAW029,,NOT_APPLICABLE,,JOURNAL_GUIDELINE,《合肥工业大学学报（自然科学版）》插图要求及示例.doc,《合肥工业大学学报（自然科学版）》插图要求及示例.doc,.doc,25105920,160960cdfcc73896cb443a1b7eeec91e9ad419febc4710bafff5b1882636138a,,UNIQUE,,,,,NOT_APPLICABLE,PRESENT,Journal guideline asset; no formal retrieval ID assigned
RAW030,,NOT_APPLICABLE,,JOURNAL_GUIDELINE,《合肥工业大学学报（自然科学版）》表格要求及示例.doc,《合肥工业大学学报（自然科学版）》表格要求及示例.doc,.doc,61952,1764dd6bb74e4ea850aad2fd71f87a1a92badfd7d6854edd8ff9db7d09a0f009,,UNIQUE,,,,,NOT_APPLICABLE,PRESENT,Journal guideline asset; no formal retrieval ID assigned
RAW031,P04,MAIN_AI_ADMISSION_MATCH,"Paper Phase 3 Main AI Literature Admission Review, 2026-08-07, L6 final closure",RESEARCH_PAPER,reddi_et_al_2019_mlperf_inference_benchmark.pdf,reddi_et_al_2019_mlperf_inference_benchmark.pdf,.pdf,1185996,ab71faac2c06fa5c317f559e3e96c7baa24a7d15bcf757efcee085ee1a3a1efd,,UNIQUE,15,,,arXiv:1911.02549,EXTRACTED,PRESENT,P04 formal mapping; PDF metadata title/author fields empty; PDF remains external; admitted source A14
RAW032,,NOT_APPLICABLE,Supplementary L6 source; no new P ID authorized,RESEARCH_PAPER,MLPerf Mobile Inference Benchmark arXiv PDF.pdf,MLPerf Mobile Inference Benchmark arXiv PDF.pdf,.pdf,2444614,078ebeae4f86ee83280edf061704a646ac9c811d94ad82500b635ae2d279b6c1,,UNIQUE,18,MLPerf Mobile Inference Benchmark,"Vijay Janapa Reddi, David Kanter, Peter Mattson, Jared Duke, Thai Nguyen, Ramesh Chukka, Ken Shiring, Koan-Sin Tan, Mark Charlebois, William Chou, Mostafa El-Khamy, Jungwook Hong, Tom St. John, Cindy Trinh, Michael Buch, Mark Mazumder, Relja Markovic, Thomas Atta, Fatih Cakir, Masoud Charkhabi, Xiaodong Chen, Cheng-Ming Chiang, Dave Dexter, Terry Heo, Guenther Schmuelling, Maryam Shabani, Dylan Zika",arXiv:2012.02328,EXTRACTED,PRESENT,Supplementary L6 source; formal retrieval ID intentionally empty; PDF remains external; admitted source A15
