stage,experiment_id,contribution_grade,evidence_status,thesis_use,engineering_paper_use,paper_section_role,primary_metrics,timing_boundary,allowed_claim,mandatory_limitation,excluded_claim,authority_path,machine_result_path,figure_or_table_candidate,rerun_required,notes
"P","p7_stability_v1","B","CANONICAL","SUPPORTING","EXCLUDED","Bounded Pipeline stability support","duration; processed frames; cycles; drops; errors","Continuous bounded Pipeline campaign wall duration","Recorded 30-minute bounded Pipeline lifecycle stability","Thermal status unavailable; not memory-leak or industrial certification","No thermal throttling; industrial reliability or leak certification","docs/personal/STAGE_P_FINAL_REPORT.md","results/validation/stage_p/p7_stability_v1/attempt_001/P7_PIPELINE_STABILITY_REPORT.md","THESIS_TABLE","NO","Stage P remains supporting chain evidence"
"Q","split_v2_deduplicated","B","CANONICAL","SUPPORTING","SUPPORTING","Frozen INT8 dataset and calibration boundary","train/val/test 1260/359/180; isolation PASS","Dataset split contract; test set unchanged from split_v1","Deduplicated split v2 is the current Stage Q authority","Historical split_v1 duplication must be disclosed","Use of split_v1 as current authority","docs/personal/STAGE_Q_FINAL_REPORT.md","results/validation/stage_q/split_v2_deduplicated/split_v2_statistics.json","CONTRACT_TABLE","NO","Important engineering-paper prerequisite"
"Q","q3_int8_calibration_build","B","CANONICAL","SUPPORTING","SUPPORTING","INT8 PTQ provenance","1260 calibration images; INT8/FP16/FP32 layer counts","Formal calibration/build contract","Formal TensorRT 10.3 legacy INT8 calibration and build provenance","External Engine/cache; legacy calibration; not TensorRT 11/QAT/Q-DQ","New quantization algorithm; QAT/Q-DQ conclusions","docs/personal/STAGE_Q3_FORMAL_CALIBRATION_REPORT.md","results/build/tensorrt/q3_int8_engine_v1/layer_precision_audit_summary.json","METHOD_TABLE","NO","Engine/cache retention and hashes are verified"
"Q","q5_accuracy_v1","B","CANONICAL","SUPPORTING","SUPPORTING","INT8 accuracy prerequisite","FP16/INT8 P/R/mAP50/mAP50-95; accuracy deltas","Frozen 180-image task evaluation","Measured FP16-versus-INT8 accuracy trade-off under frozen thresholds","INT8 accuracy declines and must be reported","Lossless INT8; generalization to other calibration routes","docs/personal/STAGE_Q_FINAL_REPORT.md","results/validation/stage_q/q5_accuracy_v1/metrics_summary.json","ACCURACY_TABLE","NO","Primary small-paper prerequisite before Stage R"
"Q","q6_serial_performance_v1","B","CANONICAL","SUPPORTING","SUPPORTING","INT8 serial performance prerequisite","inference speedup; pre-sink throughput ratio; mean/P95 end-to-end ratios","Stage Q inference service and serial pre-sink/end-to-end boundaries","Material Serial inference gain under the Stage Q frozen protocol","Thermal throttle unavailable; boundary must remain explicit","GPU-kernel-only timing; cross-stage ranking","docs/personal/STAGE_Q_FINAL_REPORT.md","results/validation/stage_q/q6_serial_performance_v1/q6_serial_summary.json","PERFORMANCE_TABLE","NO","Motivates Stage R without becoming a core contribution"
"Q","q7_pipeline_v1","B","CANONICAL","SUPPORTING","SUPPORTING","INT8 Pipeline regression prerequisite","throughput ratio 1.012575; runtime failures","Stage Q Pipeline measured wall-throughput boundary","INT8 Pipeline showed no material regression under the frozen protocol","Observation does not support a large Pipeline gain or industrial stability","Significant Pipeline improvement","docs/personal/STAGE_Q_FINAL_REPORT.md","results/benchmark/stage_q/q7_pipeline_v1/attempt_001/q7_pipeline_summary.json","SUPPORT_TABLE","NO","Engineering-paper use is concise prerequisite only"
"Q","q7_confirmation_v1","B","CANONICAL","SUPPORTING","SUPPORTING","Bounded INT8 Pipeline confirmation","duration; frames; cycles; confirmation status","Continuous 300-second confirmation wall duration","Recorded bounded INT8 Pipeline confirmation passed","Not industrial-duration stability or certification","Industrial stability conclusion","docs/personal/STAGE_Q_FINAL_REPORT.md","results/validation/stage_q/q7_confirmation_v1/attempt_001/q7_confirmation_summary.json","SUPPORT_TABLE","NO","Supports no-material-regression result"
"R","r1_baseline_profiling","A","CANONICAL","CORE","CORE","Current-system data-path opportunity analysis","source; preprocessing; host inference roundtrip; H2D; D2H; pre-sink means","V0 component profiling boundary defined by Stage R","CPU preprocessing and synchronous host-side movement were significant V0 components in the tested system","V0 observations do not prove universal bottleneck migration or V2/V3/V4 gains","INT8 always moves the bottleneck to input processing","docs/personal/STAGE_R_FINAL_REPORT.md","results/validation/stage_r/r1_baseline_profiling_v1/profiling_summary.json","CORE_FIGURE","NO","Supports Core Contribution 1"
"R","r3_unified_validation","A","CANONICAL","CORE","CORE","Unified experimental-boundary validation","harness checks; identity checks","Unified single-thread inline harness","Unified validation supports comparable Attempt 2 execution boundaries","Unified harness is not comparable to multi-thread PipelineRunner throughput","Cross-harness ranking","docs/personal/STAGE_R_R3_ABLATION_REPORT.md","results/benchmark/stage_r/r3_unified_validation/validation_summary.json","METHOD_TABLE","NO","Supports Core Contribution 1"
"R","r3_attempt_2","A","CANONICAL","CORE","CORE","Authoritative V0/V2/V3/V4 branch ablation","FPS; mean/P95/P99/max latency; CPU cores; paired deltas","Unified single-thread harness; five interleaved independent-process runs per variant","Observed comparable multi-branch differences under the frozen Stage R boundary","Five runs do not establish statistical significance; inherited accuracy must be labeled","Attempt 1 figures; universal CUDA or memory conclusions","docs/personal/STAGE_R_FINAL_REPORT.md","results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/aggregate_metrics.json","CORE_TABLE","NO","Attempt 2 is formal horizontal-comparison authority"
"R","r3_attempt_2_v2_accuracy_gate","A","CANONICAL","CORE","CORE","V2 performance-versus-correctness trade-off","V2 Gate A/B/C PASS; Gate D FAIL; mAP50 and class drops","Frozen Stage R task-correctness gate","V2 is a performance-first research trade-off with observed speed and latency gains","Gate D FAIL must appear in main results; V2 is research-only","Correctness equivalence; production replacement","docs/personal/STAGE_R_FINAL_REPORT.md","results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/performance_accuracy_tradeoff.json","CORE_TRADEOFF_TABLE","NO","Supports Core Contribution 2"
"R","r3_attempt_2_v3_incremental_result","A","CANONICAL","CORE","CORE","Pinned-staging incremental ablation","V3-vs-V2 FPS; latency; CPU paired deltas","Unified Attempt 2 harness","Pinned raw staging showed no meaningful incremental benefit in the tested path","V3 inherits V2 accuracy; result is limited to current batch=1 single-thread path","Pinned memory is generally ineffective","docs/personal/STAGE_R_R5_PARETO_REPORT.md","results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/comparison_matrix.json","CORE_TABLE","NO","Negative or null incremental result retained"
"R","r3_attempt_2_v4_negative_ablation","A","CANONICAL","CORE","CORE","Double-buffer negative ablation and tail analysis","FPS; mean/P95/P99/max latency; CPU; 8.98-10.24 s tails","Unified Attempt 2 harness","The tested limited double-buffer implementation was dominated and tail-unstable","Do not generalize to double buffering; causal root cause was not established","Double buffering is universally harmful","docs/personal/STAGE_R_R3_ABLATION_REPORT.md","results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/aggregate_metrics.json","CORE_TAIL_FIGURE","NO","Severe tails must accompany P95/P99"
"R","r3_attempt_2_oom_record","A","SUPPLEMENTAL","LIMITATION","LIMITATION","Current OOM anomaly disclosure","return code -9; about 5.1 GiB anonymous RSS","Failed Attempt 2 V4 process outside formal aggregate sample","A current V4 OOM anomaly occurred and the protocol-authorized rerun completed","Failed sample is excluded from aggregates; exact causal root cause is unproven","Reliability generalization; proven OOM root cause","docs/personal/STAGE_R_R3_ABLATION_REPORT.md","results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/failure.json","LIMITATION_NOTE","NO","Current supplemental evidence; not historical invalid"
"R","r5_pareto_closeout_v1","A","CANONICAL","CORE","CORE","Multi-objective disposition","V0 deployment baseline; V2 research trade-off; V3 not selected; V4 dominated","Attempt 2 metrics and frozen accuracy boundary","V0 is correctness-first and V2 is performance-first research-only within tested variants","Pareto set covers only V0/V2/V3/V4 and does not make V2 production-ready","Highest FPS is automatically the best deployment choice","docs/personal/STAGE_R_R5_PARETO_REPORT.md","results/validation/stage_r/r5_pareto_closeout_v1/stage_r_pareto_summary.json","CORE_PARETO_FIGURE","NO","Supports Core Contribution 2"
"R","paper_csv_bundle","A","CANONICAL","CORE","CORE","Direct paper table and plot inputs","ablation; accuracy; incremental; FPS-latency; Pareto; tail data","Derived only from authoritative Attempt 2 with metadata restrictions","Six canonical CSVs may directly feed paper tables and plots","Metadata restrictions; Gate D and V4 tail/OOM must remain visible","Rendered figures already exist; use of Attempt 1 data","docs/personal/PAPER_STAGE_R_DATA_PATH_ABLATION.md","results/paper/stage_r/","CORE_FIGURE_SET","OPTIONAL_PRESENTATION_ONLY","Rendering is a later presentation task rather than an experiment rerun"
"J","j5_7_gate_v1","D","HISTORICAL_INVALID","EXCLUDED","EXCLUDED","Historical invalid evidence gate","none","Superseded historical gate contract","May be mentioned only as superseded process history","Original gate is invalid as final evidence","Use as formal Stage J evidence","results/benchmark/jetson_ort_cpu/j5_7_evidence_gate_v1/J5_7_EVIDENCE_GATE_REPORT.md","results/benchmark/jetson_ort_cpu/j5_7_evidence_gate_v1/J5_7_EVIDENCE_GATE_REPORT.md","NONE","NO","Excluded; replaced by research gate v2"
"K","k7_invalidated_output_allocation","D","HISTORICAL_INVALID","EXCLUDED","EXCLUDED","Invalidated allocation result","none","Invalid output-allocation timing/results","May be cited only to explain invalidation","Entire local tree is excluded even if files contain completion text","Any numerical performance claim","results/validation/stage_k8/final_summary_v1/README.txt","/home/orin/edge-ai-local-evidence/stage_k7/performance_v1_invalidated_output_allocation/comparison_report.json","NONE","NO","Excluded; repository performance_v1 is replacement authority"
"P","p5_historical_invalid_conclusion","D","HISTORICAL_INVALID","EXCLUDED","EXCLUDED","Superseded protocol conclusion","none","Invalid cross-window RUN-SHA rule","May explain why P5R reclassified existing data","Old conclusion is superseded; no benchmark rerun occurred","Use of historical invalid conclusion","results/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5_FINAL_RECLASSIFICATION_REPORT.md","/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5_QUEUE_PILOT_AND_FORMAL_BENCHMARK_REPORT.md","NONE","NO","Excluded; P5R is current authority"
"Q","split_v1","D","HISTORICAL_VALID","EXCLUDED","EXCLUDED","Superseded dataset split","one train-validation content duplicate","Historical split contract","May explain deduplication chronology only","Not the current dataset authority; test set was unchanged","Use as current split or calibration authority","docs/personal/STAGE_Q_FINAL_REPORT.md","docs/personal/STAGE_Q_SPLIT_REMEDIATION_ANALYSIS.md","NONE","NO","Excluded; split_v2_deduplicated is replacement authority"
"R","r3_attempt_1","D","HISTORICAL_VALID","EXCLUDED","EXCLUDED","Noncomparable harness diagnostic","about 231.9 FPS V0 diagnostic value","Mixed runner topology; noncomparable across variants","May document the runner-topology confounding lesson","No Attempt 1 cross-variant metric may enter final tables","Final horizontal comparison or formal V0 figure","docs/personal/STAGE_R_R3_ABLATION_REPORT.md","results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v1/aggregate_metrics.json","NONE","NO","Excluded; Attempt 2 is replacement authority"
"R","r6_negative_closeout","D","HISTORICAL_VALID","EXCLUDED","EXCLUDED","Superseded replacement-selection closeout","Gate D FAIL; historical no-performance disposition","Historical replacement-selection boundary","May explain the chronology before D087 reopening","Superseded as current overall Stage R research status","Current Stage R closeout or ablation conclusion","docs/personal/STAGE_R_FINAL_REPORT.md","results/validation/stage_r/r6_closeout_v1/stage_r_final_status.json","NONE","NO","Excluded; R3/R5 addendum is current authority"
