stage,experiment_id,asset_status,authority_document,raw_data_path,summary_path,config_path,environment_path,manifest_or_hash_path,primary_metrics,possible_paper_use,allowed_claim,restriction,replacement_asset,notes
J,j6_tuned_stability_v1,CANONICAL,docs/personal/STAGE_J_FINAL_REPORT.md,results/benchmark/jetson_ort_cpu/stability/j6_tuned_stability_v1/,results/benchmark/jetson_ort_cpu/stability/j6_tuned_stability_v1/stability_report.json,docs/personal/STAGE_J_EXECUTION_PLAN.md,results/benchmark/jetson_ort_cpu/stability/j6_tuned_stability_v1/environment.json,results/benchmark/jetson_ort_cpu/stability/j6_tuned_stability_v1/sha256sums.txt,"1800.065 s; 14860 frames; 743 cycles; 0 failures",stability table,"30-minute tuned k5 correctness/stability observation","VDD_IN and other telemetry unavailable; not industrial certification",,Research-grade evidence
J,j5_7_gate_v1,HISTORICAL_INVALID,results/benchmark/jetson_ort_cpu/j5_7_evidence_gate_v1/J5_7_EVIDENCE_GATE_REPORT.md,results/benchmark/jetson_ort_cpu/j5_7_evidence_gate_v1/,results/benchmark/jetson_ort_cpu/j5_7_evidence_gate_v1/J5_7_EVIDENCE_GATE_REPORT.md,docs/personal/STAGE_J_EXECUTION_PLAN.md,results/benchmark/jetson_ort_cpu/j5_7_evidence_gate_v1/provenance.json,results/benchmark/jetson_ort_cpu/j5_7_evidence_gate_v1/sha256sums.txt,BLOCKED,historical methodology note,"May document the historical gate issue","Must not be presented as final gate",results/benchmark/jetson_ort_cpu/j5_7_research_grade_gate_v2/research_grade_gate_report.json,Superseded by accepted gate v2
K,k5_task_eval_v2,CANONICAL,results/validation/stage_k8/final_summary_v1/README.txt,results/validation/stage_k_task_eval_v2/inference/,results/validation/stage_k_task_eval_v2/metrics/backend_metrics.json,results/validation/stage_k_task_eval_v2/metrics/evaluation_contract.json,results/validation/stage_k_task_eval_v2/protocol/protocol_metadata.json,results/validation/stage_k_task_eval_v2/metrics/sha256sums.txt,"FP32 vs FP16 P/R/mAP; TASK_LEVEL_FP16_ACCEPTED",accuracy comparison,"FP16 accepted at task level","Raw Level B remains FAIL; no bitwise equivalence",,D066 acceptance basis
K,k5_raw_level_b_fp16,CANONICAL,results/validation/stage_k8/final_summary_v1/README.txt,results/validation/jetson_tensorrt_fp16/k5_correctness_v3/,results/validation/jetson_tensorrt_fp16/k5_correctness_v3/tensorrt_level_b_report.json,docs/personal/STAGE_K_EXECUTION_PLAN.md,results/validation/jetson_tensorrt_fp16/k5_correctness_v3/provenance.json,results/validation/jetson_tensorrt_fp16/k5_correctness_v3/sha256sums.txt,"1/16 raw tensors PASS; Level B FAIL",correctness limitation discussion,"Canonical negative correctness evidence must qualify task-level acceptance","Cannot support raw equality; task-level acceptance does not overturn Level B FAIL",,Current canonical negative evidence; may be cited in correctness analysis and limitations
K,k6_fp16_stability_v1,CANONICAL,results/validation/stage_k8/final_summary_v1/README.txt,results/validation/stage_k6/stability_v1/,results/validation/stage_k6/stability_v1/stability_report.json,docs/personal/STAGE_K_EXECUTION_PLAN.md,results/validation/stage_k6/stability_v1/environment.json,results/validation/stage_k6/stability_v1/sha256sums.txt,"1802.819 s; 84420/84420 frames",stability table,"30-minute FP16 serial stability observation","Engineering evidence only; task-level acceptance boundary",,K6_STABILITY_PASS
K,k7_performance_v1,CANONICAL,results/validation/stage_k8/final_summary_v1/README.txt,results/validation/stage_k7/performance_v1/,results/validation/stage_k7/performance_v1/comparison_report.json,results/validation/stage_k7/performance_v1/protocol.json,results/validation/stage_k7/performance_v1/environment.json,models/tensorrt/yolov8n_neudet_trt10.3_fp16_b1_640.manifest.json,"FP16 inference 11.164944 ms/89.5661 FPS; E2E 17.065202 ms/58.5988 FPS; 1.156675x and 1.102438x",FP32-vs-FP16 performance table,"Formal descriptive Serial performance on frozen Jetson","Inference is host-roundtrip excluding H2D; no universal speedup",,Replaces local invalidated copy
K,k_fp16_engine_binary,SUPPLEMENTAL,models/tensorrt/yolov8n_neudet_trt10.3_fp16_b1_640.manifest.json,/home/orin/edge-ai-local-models/stage_k/yolov8n_neudet_trt10.3_fp16_b1_640.engine,models/tensorrt/yolov8n_neudet_trt10.3_fp16_b1_640.manifest.json,docs/personal/STAGE_K_EXECUTION_PLAN.md,results/validation/stage_k7/performance_v1/environment.json,models/tensorrt/yolov8n_neudet_trt10.3_fp16_b1_640.manifest.json,"8928756 bytes; SHA256 6c3d12dcbd8a568d28e038f192eecfd6a3f917d06a52876de49d4e7d7750d9bc",binary retention and reinspection,"External FP16 Engine matches repository manifest identity","EXTERNAL_LOCAL_ONLY; must not enter Git; rebuild not required",,PRESENT_HASH_VERIFIED; RETENTION_CONFIRMED
K,k7_invalidated_output_allocation,HISTORICAL_INVALID,results/validation/stage_k8/final_summary_v1/README.txt,/home/orin/edge-ai-local-evidence/stage_k7/performance_v1_invalidated_output_allocation/,/home/orin/edge-ai-local-evidence/stage_k7/performance_v1_invalidated_output_allocation/comparison_report.json,/home/orin/edge-ai-local-evidence/stage_k7/performance_v1_invalidated_output_allocation/protocol.json,/home/orin/edge-ai-local-evidence/stage_k7/performance_v1_invalidated_output_allocation/environment.json,,latency/FPS,none,"May only explain invalidation history","LOCAL_ONLY and explicitly invalidated; internal old verdict does not restore authority",results/validation/stage_k7/performance_v1/,Excluded from paper
P,p4_attempt_009,CANONICAL,docs/personal/STAGE_P_EVIDENCE_INDEX.md,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p4_correctness_v1/attempt_009/runs/,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p4_correctness_v1/attempt_009/runs/serial.json,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p4_correctness_v1/attempt_009/configs/,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p4_correctness_v1/attempt_009/environment/,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p4_correctness_v1/attempt_009/hash_summary.txt,"Serial/Pipeline RUN and CYCLE identity",Pipeline correctness,"Exact detection identity for frozen 180-frame corpus","LOCAL_ONLY raw evidence; inherited raw Level B limitation",,Final P4 attempt
P,p5_queue_pilot_attempt_001,CANONICAL,results/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5_FINAL_RECLASSIFICATION_REPORT.md,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_queue_pilot_v1/attempt_001/,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_queue_pilot_v1/attempt_001/pilot_selection.json,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_queue_pilot_v1/attempt_001/configs/,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_queue_pilot_v1/attempt_001/environment/control.txt,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_queue_pilot_v1/attempt_001/sha256sums.txt,"capacities 1/2/4; selected capacity 1",queue-selection table,"Capacity 1 was the smallest candidate within 95% of best throughput","LOCAL_ONLY raw evidence; selection is workload-specific",,Included in P5R final status
P,p5_attempt_001_reclassified,CANONICAL,results/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5_FINAL_RECLASSIFICATION_REPORT.md,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_serial_vs_pipeline_v1/runs/,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_serial_vs_pipeline_v1/formal_statistics.json,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_serial_vs_pipeline_v1/configs/,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_serial_vs_pipeline_v1/environment/control.txt,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_serial_vs_pipeline_v1/sha256sums.txt,"paired throughput ratio 4.165718; SD 0.007915; queue 1",Serial-vs-Pipeline throughput table,"Formal descriptive throughput increase under frozen workload","No significance/general guarantee/lower-latency inference; thermal unavailable; raw path is LOCAL_ONLY",,No rerun; corrected contract reclassified existing data
P,p5_historical_invalid_conclusion,HISTORICAL_INVALID,results/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5_FINAL_RECLASSIFICATION_REPORT.md,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_serial_vs_pipeline_v1/,/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5_QUEUE_PILOT_AND_FORMAL_BENCHMARK_REPORT.md,docs/personal/STAGE_P_EXECUTION_PLAN.md,,,none,"Historical protocol-error explanation","Cross-window RUN-SHA conclusion is superseded",results/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5_FINAL_RECLASSIFICATION_REPORT.md,LOCAL_ONLY old report
P,p6_video_v1,CANONICAL,docs/personal/STAGE_P_FINAL_REPORT.md,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p6_video_v1/attempt_002/formal/,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p6_video_v1/attempt_002/validation/gate_checks.json,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p6_video_v1/attempt_002/formal/,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p6_video_v1/attempt_002/environment.txt,/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p6_video_v1/attempt_002/sha256sums.txt,"16 frames; zero drops; identical RUN SHA",video-path validation,"Frozen short MJPG passed Serial and Pipeline","LOCAL_ONLY video/raw results; not broad codec support",,P6_VIDEO_SOURCE_PASS
P,p7_stability_v1,CANONICAL,docs/personal/STAGE_P_FINAL_REPORT.md,results/validation/stage_p/p7_stability_v1/attempt_001/,results/validation/stage_p/p7_stability_v1/attempt_001/P7_PIPELINE_STABILITY_REPORT.md,results/validation/stage_p/p7_stability_v1/attempt_001/configs/p7_pipeline.yaml,results/validation/stage_p/p7_stability_v1/attempt_001/environment/environment.txt,results/validation/stage_p/p7_stability_v1/attempt_001/environment/frozen_hashes.txt,"1800.006 s; 410691 frames; 2281 cycles; zero drop/error",Pipeline stability table,"30-minute bounded Pipeline lifecycle passed","Thermal status unavailable; not industrial leak certification",,Repository formal result with local raw supplement
Q,split_v2_deduplicated,CANONICAL,docs/personal/STAGE_Q_FINAL_REPORT.md,results/validation/stage_q/split_v2_deduplicated/,results/validation/stage_q/split_v2_deduplicated/split_v2_statistics.json,docs/personal/STAGE_Q_SPLIT_REMEDIATION_PLAN.md,results/validation/stage_q/q1_platform_asset_preflight_v1/platform_summary.json,results/validation/stage_q/split_v2_deduplicated/duplicate_resolution_report.json,"1260/359/180 images; isolation PASS",dataset contract table,"Deduplicated v2 is Stage Q authority; test 180 unchanged","Historical split_v1 duplication must be disclosed",,Repository canonical despite no local Stage Q root
Q,split_v1,HISTORICAL_VALID,docs/personal/STAGE_Q_FINAL_REPORT.md,,docs/personal/STAGE_Q_SPLIT_REMEDIATION_ANALYSIS.md,docs/personal/STAGE_Q_EXECUTION_PLAN.md,results/validation/stage_q/q1_platform_asset_preflight_v1/platform_summary.json,results/validation/stage_q/q1_platform_asset_preflight_v1/duplicate_sample_analysis.json,"1260/360/180; one train-val content duplicate",historical dataset limitation,"May explain remediation chronology","Not current split authority",results/validation/stage_q/split_v2_deduplicated/,Test corpus remained unchanged
Q,q3_int8_calibration_build,CANONICAL,docs/personal/STAGE_Q3_FORMAL_CALIBRATION_REPORT.md,,results/build/tensorrt/q3_int8_engine_v1/layer_precision_audit_summary.json,docs/personal/STAGE_Q_EXECUTION_PLAN.md,docs/personal/STAGE_Q3_FORMAL_CALIBRATION_REPORT.md,results/build/tensorrt/q3_int8_engine_v1/formal_calibration_manifest.json,"1260 calibration images; INT8/FP16/FP32 compute 262/6/64",INT8 build provenance,"Formal TensorRT 10.3 legacy INT8 build passed","Engine/cache/manifest v2 binaries are external; not TensorRT 11/QAT/Q-DQ",,Tracked calibration manifest and audit summary
Q,q3_int8_engine,SUPPLEMENTAL,docs/personal/STAGE_Q3_FORMAL_CALIBRATION_REPORT.md,/home/orin/edge-ai-local-models/stage_q/formal/yolov8n_neudet_trt10.3_int8_ptq_b1_640.engine,docs/personal/STAGE_Q3_FORMAL_CALIBRATION_REPORT.md,docs/personal/STAGE_Q_EXECUTION_PLAN.md,results/validation/stage_q/q1_platform_asset_preflight_v1/platform_summary.json,/home/orin/edge-ai-local-models/stage_q/formal/engine_manifest_v2.json,"4825956 bytes; SHA256 8d96eabd182df392db08bb0f15e1c9ffc9941276965090b0cdebfb4e8c25a8ee",binary reproduction,"Formal INT8 Engine retention and identity are verified","EXTERNAL_LOCAL_ONLY; must not enter Git; rebuild not required",,PRESENT_HASH_VERIFIED; RETENTION_CONFIRMED
Q,q3_calibration_cache,SUPPLEMENTAL,docs/personal/STAGE_Q3_FORMAL_CALIBRATION_REPORT.md,/home/orin/edge-ai-local-models/stage_q/formal/calibration.cache,/home/orin/edge-ai-local-models/stage_q/formal/calibration_cache.meta.json,docs/personal/STAGE_Q_EXECUTION_PLAN.md,results/validation/stage_q/q1_platform_asset_preflight_v1/platform_summary.json,/home/orin/edge-ai-local-models/stage_q/formal/calibration_cache.meta.json,"10655 bytes; SHA256 05bc8175bbbf3d01d8dcf8250c94c4dd90f03cd632c3112a5a98d41c5470a0ba",calibration provenance,"Formal calibration cache retention and identity are verified","EXTERNAL_LOCAL_ONLY; must not enter Git; recalibration not required",,PRESENT_HASH_VERIFIED; RETENTION_CONFIRMED
Q,q3_engine_manifest_v2,SUPPLEMENTAL,docs/personal/STAGE_Q3_FORMAL_CALIBRATION_REPORT.md,/home/orin/edge-ai-local-models/stage_q/formal/engine_manifest_v2.json,/home/orin/edge-ai-local-models/stage_q/formal/build_summary.json,docs/personal/STAGE_Q_EXECUTION_PLAN.md,results/validation/stage_q/q1_platform_asset_preflight_v1/platform_summary.json,/home/orin/edge-ai-local-models/stage_q/formal/engine_manifest_v2.json,"918 bytes; observed SHA256 67f6ce3337d9c28c4aa2b32ba62554eaaa028f096c448041c063ec695f3b981c; embedded Engine/cache/ONNX identities",binary provenance,"Engine manifest v2 and supporting metadata are retained","EXTERNAL_LOCAL_ONLY; no separately recorded expected self-hash for manifest; no Engine rebuild implied",,PRESENT_HASH_VERIFIED; RETENTION_CONFIRMED; metadata self-hash limitation documented
Q,q5_accuracy_v1,CANONICAL,docs/personal/STAGE_Q_FINAL_REPORT.md,,results/validation/stage_q/q5_accuracy_v1/metrics_summary.json,results/validation/stage_q/q5_accuracy_v1/evaluator_config.json,docs/personal/STAGE_Q5_ACCURACY_REPORT.md,results/validation/stage_q/q5_accuracy_v1/expected_int8_cycle_sha.json,"FP16/INT8 P/R/mAP50/mAP50-95; ACCEPTABLE",accuracy trade-off table,"Measured INT8 accuracy is acceptable under frozen thresholds","Test split only; do not generalize to other calibration routes",,Raw full Result JSON local-only/not tracked
Q,q6_serial_performance_v1,CANONICAL,docs/personal/STAGE_Q_FINAL_REPORT.md,,results/validation/stage_q/q6_serial_performance_v1/q6_serial_summary.json,"configs/stage_q/runtime_q6_fp16_v5.yaml; configs/stage_q/runtime_q6_int8_v5.yaml",docs/personal/STAGE_Q6_SERIAL_PERFORMANCE_REPORT.md,results/validation/stage_q/q6_serial_performance_v1/artifact_sha256.txt,"1.269856x inference; 1.172850x throughput; E2E ratios",FP16-vs-INT8 Serial table,"Material Serial inference gain and no material E2E regression","Thermal throttle unavailable; stage boundaries must be labeled",,Repository canonical
Q,q7_pipeline_v1,CANONICAL,docs/personal/STAGE_Q_FINAL_REPORT.md,,results/benchmark/stage_q/q7_pipeline_v1/attempt_001/q7_pipeline_summary.json,"configs/stage_q/runtime_q7_fp16_pipeline_v1.yaml; configs/stage_q/runtime_q7_int8_pipeline_v1.yaml",docs/personal/STAGE_Q7_PIPELINE_EVALUATION_REPORT.md,results/benchmark/stage_q/q7_pipeline_v1/attempt_001/pair1_int8_hashes.json,"1.012575x throughput; no runtime failures",FP16-vs-INT8 Pipeline table,"Pipeline has no material regression under frozen protocol","Do not characterize as a large gain or industrial stability",,Repository canonical
Q,q7_confirmation_v1,CANONICAL,docs/personal/STAGE_Q_FINAL_REPORT.md,,results/validation/stage_q/q7_confirmation_v1/attempt_001/q7_confirmation_summary.json,configs/stage_q/runtime_q7_int8_pipeline_v1.yaml,docs/personal/STAGE_Q7_PIPELINE_EVALUATION_REPORT.md,results/validation/stage_q/q7_confirmation_v1/attempt_001/int8_confirmation_hashes.json,"319.675 s; 22680 frames; 126 cycles; PASS",bounded confirmation table,"300-second INT8 Pipeline confirmation passed","Not industrial certification",,Repository canonical
R,r6_negative_closeout,HISTORICAL_VALID,docs/personal/STAGE_R_FINAL_REPORT.md,,results/validation/stage_r/r6_closeout_v1/stage_r_final_status.json,docs/personal/STAGE_R_EXECUTION_PLAN.md,results/validation/stage_r/r0_planning_freeze_v1/pre_r0_environment_manifest.json,results/validation/stage_r/r6_closeout_v1/artifact_sha256.txt,"Gate D FAIL; original no-performance disposition",replacement-selection chronology,"Historical b008af7 replacement-selection result remains valid","Superseded as current overall Stage R status",results/validation/stage_r/r5_pareto_closeout_v1/stage_r_final_status.json,Partially replaced by D087 and R3/R5 addendum
R,r3_attempt_1,HISTORICAL_VALID,docs/personal/STAGE_R_R3_ABLATION_REPORT.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v1/,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v1/aggregate_metrics.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v1/experiment_manifest.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v1/runs/set_01_v0/environment_start.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v1/artifact_sha256.txt,"real 20-run samples; V0 about 231.9 FPS",diagnostic context only,"May document harness-confounding lesson","Not comparable; forbidden in final cross-variant table",results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/,Attempt 1 noncomparable harness
R,r3_unified_validation,CANONICAL,docs/personal/STAGE_R_R3_ABLATION_REPORT.md,results/benchmark/stage_r/r3_unified_validation/runs/,results/benchmark/stage_r/r3_unified_validation/validation_summary.json,configs/stage_r/,results/benchmark/stage_r/r3_unified_validation/runs/set_01_v0/run_manifest.json,,"harness checks PASS; identity PASS",ablation method validation,"Unified short harness validation passed","No accuracy experiment rerun",,Supports Attempt 2 comparability
R,r3_attempt_2,CANONICAL,docs/personal/STAGE_R_FINAL_REPORT.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/runs/,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/aggregate_metrics.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/experiment_manifest.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/runs/set_01_v0/environment_start.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/artifact_sha256.txt,"V0/V2/V3/V4 FPS latency CPU; paired deltas",primary data-path ablation table,"Observed comparable unified-harness differences","Five runs only; no significance; V2/V3/V4 accuracy inherited; V4 tail must be shown",,Attempt 2 is formal authority
R,r3_attempt_2_oom_record,SUPPLEMENTAL,docs/personal/STAGE_R_R3_ABLATION_REPORT.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/failure.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/failure.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/experiment_manifest.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/runs/set_01_v4/environment_start.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/artifact_sha256.txt,"return code -9; OOM; 5.1 GiB anon RSS",limitations/anomaly note,"Current Attempt 2 OOM anomaly must be disclosed","Excluded from aggregate performance samples; retained for limitations",results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/runs/set_01_v4/,Current supplemental anomaly evidence; one protocol-authorized rerun completed
R,r5_pareto_closeout_v1,CANONICAL,docs/personal/STAGE_R_R5_PARETO_REPORT.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/,results/validation/stage_r/r5_pareto_closeout_v1/stage_r_pareto_summary.json,docs/personal/STAGE_R_EXECUTION_PLAN.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/experiment_manifest.json,results/validation/stage_r/r5_pareto_closeout_v1/artifact_sha256.txt,"V0 deployment baseline; V2 research trade-off; V3 not selected; V4 negative",Pareto/decision table,"Current Stage R multi-branch disposition","V2 is not correctness-equivalent or deployment replacement",,Latest machine closeout authority
R,paper_csv_bundle,CANONICAL,docs/personal/PAPER_STAGE_R_DATA_PATH_ABLATION.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/,results/paper/stage_r/,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/experiment_manifest.json,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/runs/set_01_v0/environment_start.json,results/paper/stage_r/metadata.json,"ablation accuracy incremental Pareto and tail data",direct table/plot input,"All six CSVs may be used with metadata restrictions","No rendered figures; V4 tails and Gate D failure must remain visible",,Generated from Attempt 2 only
