asset,element_id,claim_or_cell,authority_level,source_file,locator,validation_note
F3,F3_PANEL_B,Pooled mean E2E latency over 5400 frames/path,Frozen evidence,docs/paper/phase5_6/phase56b_publication_display_values.json,aggregate_verification,"Not process-percentile aggregation"
F3,F3_PANEL_C,Pooled P95/P99 over 5400 frames/path,Frozen evidence,docs/paper/phase5_6/phase56b_publication_display_values.json,aggregate_verification,"Absolute tail values; no magnified relative panel"
F3,F3_COMPARISONS,2.24× −55.45% +4.07% −4.03%,Frozen evidence,docs/paper/phase5_6/phase56b_publication_display_values.json,publication display values,"Displayed at specified precision"
F4,F4_PANEL_A,Five independent FPS points/path plus descriptive mean and sample SD,Frozen evidence,docs/paper/phase5_6/phase56b_run_level_metrics.csv,fps rows,"No points are connected or paired"
F4,F4_PANEL_B,V2R/V3R process Mean/P95/P99 descriptive points,Frozen evidence,docs/paper/phase5_6/phase56b_run_level_metrics.csv,mean_latency_ms/process_p95_ms/process_p99_ms,"Fixed jitter only; no inferential claim"
F4,F4_FORMAL_TAIL,Pooled P95 +0.15 percent and P99 −0.12 percent equals MIXED,Frozen evidence,docs/paper/phase5_6/phase56b_publication_display_values.json,pooled tail comparison,"Separate from process-level descriptive points"
T1,T1_DETECTOR_V0,Detector/Engine V0=Same,Implementation and frozen evidence,src/tensorrt_engine.cpp; docs/paper/phase5_6/phase56b_calibration_provenance.json,engine identity,"Same frozen engine contract"
T1,T1_DETECTOR_V2,Detector/Engine V2R=Same,Implementation and frozen evidence,stage_r/pageable_runner.cpp; docs/paper/phase5_6/phase56b_calibration_provenance.json,engine construction,"Same backend engine"
T1,T1_DETECTOR_V3,Detector/Engine V3R=Same,Implementation and frozen evidence,stage_r/pinned_runner.cpp; docs/paper/phase5_6/phase56b_calibration_provenance.json,engine construction,"Same backend engine"
T1,T1_CPU_PRE_V0,CPU pixel preprocessing V0=Yes,Implementation,src/preprocessor.cpp,Preprocessor::run,"CPU/OpenCV tensor formation"
T1,T1_CPU_PRE_V2,CPU pixel preprocessing V2R=No,Implementation,stage_r/pageable_runner.cpp; backend_tensorrt/cuda_preprocessor.cu,frame loop,"Pixel preprocessing delegated to CUDA preprocessor"
T1,T1_CPU_PRE_V3,CPU pixel preprocessing V3R=No,Implementation,stage_r/pinned_runner.cpp; backend_tensorrt/cuda_preprocessor.cu,frame loop,"Pixel preprocessing delegated to CUDA preprocessor"
T1,T1_CUDA_PRE_V0,CUDA preprocessing V0=No,Implementation,src/serial_runner.cpp; src/preprocessor.cpp,V0 call graph,"V0 uses CPU Preprocessor"
T1,T1_CUDA_PRE_V2,CUDA preprocessing V2R=Yes,Implementation,stage_r/pageable_runner.cpp; backend_tensorrt/cuda_preprocessor.cu,run call,"Fused CUDA preprocessing invoked"
T1,T1_CUDA_PRE_V3,CUDA preprocessing V3R=Yes,Implementation,stage_r/pinned_runner.cpp; backend_tensorrt/cuda_preprocessor.cu,run call,"Fused CUDA preprocessing invoked"
T1,T1_HOST_FP32_V0,Host FP32 input tensor V0=Yes,Implementation,src/preprocessor.cpp,output tensor,"Host NCHW FP32 tensor"
T1,T1_HOST_FP32_V2,Host FP32 input tensor V2R=No,Implementation,backend_tensorrt/cuda_preprocessor.cu,external device output,"Tensor is formed directly on device"
T1,T1_HOST_FP32_V3,Host FP32 input tensor V3R=No,Implementation,backend_tensorrt/cuda_preprocessor.cu,external device output,"Tensor is formed directly on device"
T1,T1_STAGE_V0,Packed raw-image staging V0=No,Implementation,src/serial_runner.cpp,V0 call graph,"No Stage-R raw staging object"
T1,T1_STAGE_V2,Packed raw-image staging V2R=Pageable,Implementation,backend_tensorrt/pageable_raw_staging.cpp,PageableRawStaging,"Reusable pageable vector"
T1,T1_STAGE_V3,Packed raw-image staging V3R=Pinned,Implementation,backend_tensorrt/pinned_raw_staging.cpp,PinnedRawStaging,"Reusable cudaHostAlloc storage"
T1,T1_RAW_H2D_V0,Raw-image H2D V0=No,Implementation,src/tensorrt_engine.cpp,input copy,"V0 copies formed FP32 tensor rather than raw image"
T1,T1_RAW_H2D_V2,Raw-image H2D V2R=Yes,Implementation,backend_tensorrt/cuda_preprocessor.cu,cudaMemcpy2DAsync,"Copies packed raw BGR rows"
T1,T1_RAW_H2D_V3,Raw-image H2D V3R=Yes,Implementation,backend_tensorrt/cuda_preprocessor.cu,cudaMemcpy2DAsync,"Copies packed raw BGR rows"
T1,T1_FORM_V0,Tensor formation V0=Host,Implementation,src/preprocessor.cpp,Preprocessor::run,"Host constructs FP32 NCHW"
T1,T1_FORM_V2,Tensor formation V2R=Device,Implementation,backend_tensorrt/cuda_preprocessor.cu,fused kernel,"Device writes FP32 NCHW"
T1,T1_FORM_V3,Tensor formation V3R=Device,Implementation,backend_tensorrt/cuda_preprocessor.cu,fused kernel,"Device writes FP32 NCHW"
T1,T1_DIRECT_V0,Direct TRT device-input formation V0=No,Implementation,src/tensorrt_engine.cpp,input H2D,"Engine copies host tensor"
T1,T1_DIRECT_V2,Direct TRT device-input formation V2R=Yes,Implementation,stage_r/pageable_runner.cpp,create_for_external_tensor,"CUDA output points at TensorRT input"
T1,T1_DIRECT_V3,Direct TRT device-input formation V3R=Yes,Implementation,stage_r/pinned_runner.cpp,create_for_external_tensor,"CUDA output points at TensorRT input"
T1,T1_STREAM_V0,TRT CUDA stream reuse V0=Not applicable,Implementation,src/serial_runner.cpp,V0 call graph,"No GPU-preprocessing stream to reuse"
T1,T1_STREAM_V2,TRT CUDA stream reuse V2R=Yes,Implementation,stage_r/pageable_runner.cpp; backend_tensorrt/cuda_preprocessor.cu,stream binding,"Backend stream is passed to CUDA preprocessor"
T1,T1_STREAM_V3,TRT CUDA stream reuse V3R=Yes,Implementation,stage_r/pinned_runner.cpp; backend_tensorrt/cuda_preprocessor.cu,stream binding,"Backend stream is passed to CUDA preprocessor"
T1,T1_PIPE_V0,Cross-frame pipeline V0=No,Implementation,src/serial_runner.cpp,serial frame loop,"One frame completes before next"
T1,T1_PIPE_V2,Cross-frame pipeline V2R=No,Implementation,stage_r/pageable_runner.cpp,serial frame loop,"No cross-frame queue or threads"
T1,T1_PIPE_V3,Cross-frame pipeline V3R=No,Implementation,stage_r/pinned_runner.cpp,serial frame loop,"No cross-frame queue or threads"
T2,T2_PLATFORM,Platform and runtime-state rows,Frozen derived evidence,docs/paper/phase5_6/phase56b_runtime_state.json,proven,"Only proven facts enter candidate table"
T2,T2_L4T,L4T publication value=R36.5,Formal execution authority,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md;docs/paper/phase0_5/evidence/timing_aligned_harness_preflight_v1/environment.json,§3 Environment L4T row; l4t_release,"Formal report fixes publication wording; raw record states R36 release revision 5.0"
T2,T2_ENGINE,Model Engine and calibration rows,Frozen derived evidence,docs/paper/phase5_6/phase56b_calibration_provenance.json,calibration/cache/engine,"Compact reproduction facts only"
T2,T2_PROTOCOL,Run count warm-up and measurement protocol,Frozen evidence,docs/paper/phase5_6/phase56b_run_level_metrics.csv,row population and measured_frames,"Five processes/path and 1080 frames/process"
T3,T3_ALL_CELLS,All 12 task-metric cells,Frozen derived evidence,docs/paper/phase5_6/phase56b_correctness_table_source.csv,three path rows × four metrics,"Generator reads and formats values; no gate columns"
T4,T4_ALL_CELLS,All 42 literature attribute cells,Local full-text audit,docs/paper/phase5_6/visual/phase56_related_work_attribute_evidence.csv,42 evidence rows,"Allowed vocabulary and page/source trace enforced"
