work,citation_key,attribute,classification,source_file,page_or_section,supporting_paraphrase,confidence
PRESTO (2025),lee_han_kim_2025_presto,Explicit host-memory strategy,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Hybrid CPU-GPU Preprocessing Framework for Video-based AI Inference System.pdf,full text,"GPU device-memory management is discussed, but no explicit pageable-versus-pinned host-memory strategy is reported.",MEDIUM
PRESTO (2025),lee_han_kim_2025_presto,Complete E2E evaluation,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Hybrid CPU-GPU Preprocessing Framework for Video-based AI Inference System.pdf,§2 and §6,"Total latency is explicitly defined as preprocessing plus GPU model execution; the audited performance boundary does not establish inclusion of postprocessing or result handling.",HIGH
PRESTO (2025),lee_han_kim_2025_presto,Task correctness,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Hybrid CPU-GPU Preprocessing Framework for Video-based AI Inference System.pdf,full text,"No task-output equivalence metric across the preprocessing alternatives was found.",MEDIUM
PRESTO (2025),lee_han_kim_2025_presto,Tail latency,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Hybrid CPU-GPU Preprocessing Framework for Video-based AI Inference System.pdf,full text,"No percentile or tail-latency result was found.",HIGH
Tang & Qian (2024),tang_qian_2024_yolov8_jetson_orin,Edge deployment,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,pp.1 and 5,"The detector is deployed and evaluated on NVIDIA Jetson AGX Orin.",HIGH
Tang & Qian (2024),tang_qian_2024_yolov8_jetson_orin,Detector/model fixed within comparison,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,p.5,"After selecting YOLOv8s, deployment configurations are compared using that model.",MEDIUM
Tang & Qian (2024),tang_qian_2024_yolov8_jetson_orin,GPU preprocessing,NO_IF_EXPLICIT,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,p.5 Table 3,"The implementation explicitly assigns OpenCV preprocessing to the CPU and transfers data for GPU model inference afterward.",HIGH
Tang & Qian (2024),tang_qian_2024_yolov8_jetson_orin,Explicit host-memory strategy,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,full text,"No explicit pageable, pinned, or unified host-memory strategy was found.",HIGH
Tang & Qian (2024),tang_qian_2024_yolov8_jetson_orin,Complete E2E evaluation,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,pp.5 and 8,"Overall latency is presented as the accumulated preprocessing, model-inference, and postprocessing path.",HIGH
Tang & Qian (2024),tang_qian_2024_yolov8_jetson_orin,Task correctness,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,pp.4-5 and 8,"Detection accuracy/mAP is reported as part of model selection and deployment evaluation, although not as a path-equivalence gate.",MEDIUM
Tang & Qian (2024),tang_qian_2024_yolov8_jetson_orin,Tail latency,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,full text,"No percentile or tail-latency evaluation was found.",HIGH
Shin & Kim (2022),shin_kim_2022_jetson_yolo_frameworks,Edge deployment,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,pp.1 and 6,"The framework comparison is conducted on NVIDIA Jetson AGX Xavier.",HIGH
Shin & Kim (2022),shin_kim_2022_jetson_yolo_frameworks,Detector/model fixed within comparison,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,pp.6 and 12-17,"The same YOLOv4 weights/model are converted and evaluated across the compared frameworks.",HIGH
Shin & Kim (2022),shin_kim_2022_jetson_yolo_frameworks,GPU preprocessing,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,full text,"The audited implementation description does not establish GPU-resident image preprocessing.",MEDIUM
Shin & Kim (2022),shin_kim_2022_jetson_yolo_frameworks,Explicit host-memory strategy,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,full text,"No explicit pageable, pinned, or unified host-memory comparison was found.",HIGH
Shin & Kim (2022),shin_kim_2022_jetson_yolo_frameworks,Complete E2E evaluation,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,p.14,"Latency is described around per-frame inference execution; a complete read/preprocess/infer/postprocess boundary is not established.",MEDIUM
Shin & Kim (2022),shin_kim_2022_jetson_yolo_frameworks,Task correctness,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,pp.14-17,"Object-detection accuracy is reported across frameworks, although it is not presented as a standard mAP path-equivalence study.",MEDIUM
Shin & Kim (2022),shin_kim_2022_jetson_yolo_frameworks,Tail latency,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,full text,"No percentile or tail-latency evaluation was found.",HIGH
Bateni et al. (2020),bateni_et_al_2020_integrated_memory,Edge deployment,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Co-Optimizing Performance and Memory Footprint Via Integrated CPUGPU Memory Management an Implementation on Autonomous Driving Platform.pdf,pp.1-2,"The memory-management study targets an embedded Jetson autonomous-driving platform.",HIGH
Bateni et al. (2020),bateni_et_al_2020_integrated_memory,Detector/model fixed within comparison,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Co-Optimizing Performance and Memory Footprint Via Integrated CPUGPU Memory Management an Implementation on Autonomous Driving Platform.pdf,pp.3 and 9,"Memory policies are evaluated on fixed application workloads rather than by changing the workload model within a policy comparison.",MEDIUM
Bateni et al. (2020),bateni_et_al_2020_integrated_memory,GPU preprocessing,NO_IF_EXPLICIT,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Co-Optimizing Performance and Memory Footprint Via Integrated CPUGPU Memory Management an Implementation on Autonomous Driving Platform.pdf,p.3,"The study explicitly identifies preprocessing as CPU time and focuses the analyzed response on GPU execution and memory management.",HIGH
Bateni et al. (2020),bateni_et_al_2020_integrated_memory,Explicit host-memory strategy,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Co-Optimizing Performance and Memory Footprint Via Integrated CPUGPU Memory Management an Implementation on Autonomous Driving Platform.pdf,pp.1 and 3,"Device, managed, and host-pinned allocations, including CUDA host allocation, are explicit comparison dimensions.",HIGH
Bateni et al. (2020),bateni_et_al_2020_integrated_memory,Complete E2E evaluation,NO_IF_EXPLICIT,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Co-Optimizing Performance and Memory Footprint Via Integrated CPUGPU Memory Management an Implementation on Autonomous Driving Platform.pdf,pp.3 and 5,"The evaluation explicitly focuses GPU response/memory-management time and excludes CPU preprocessing from that timing boundary.",HIGH
Bateni et al. (2020),bateni_et_al_2020_integrated_memory,Task correctness,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Co-Optimizing Performance and Memory Footprint Via Integrated CPUGPU Memory Management an Implementation on Autonomous Driving Platform.pdf,full text,"No task-output correctness equivalence metric across memory policies was found.",MEDIUM
Bateni et al. (2020),bateni_et_al_2020_integrated_memory,Tail latency,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Co-Optimizing Performance and Memory Footprint Via Integrated CPUGPU Memory Management an Implementation on Autonomous Driving Platform.pdf,full text,"No percentile or tail-latency evaluation was found.",HIGH
This work,,Edge deployment,YES,docs/paper/phase5_6/phase56b_runtime_state.json,proven.platform,"Formal evidence identifies the Jetson Orin Nano engineering reference developer kit.",HIGH
This work,,Detector/model fixed within comparison,YES,docs/paper/phase5_6/phase56b_calibration_provenance.json,calibration and engine,"All three paths use the frozen YOLOv8n TensorRT INT8 mixed-precision Engine.",HIGH
This work,,GPU preprocessing,YES,backend_tensorrt/cuda_preprocessor.cu,cudaMemcpy2DAsync and fused-kernel call sites,"V2R/V3R copy packed raw input then execute fused CUDA preprocessing into the external TensorRT input tensor.",HIGH
This work,,Explicit host-memory strategy,YES,backend_tensorrt/pageable_raw_staging.cpp; backend_tensorrt/pinned_raw_staging.cpp,allocation implementations,"V2R uses reusable pageable storage and V3R uses reusable cudaHostAlloc pinned storage.",HIGH
This work,,Complete E2E evaluation,YES,docs/paper/phase5_6/phase56b_publication_display_values.json,aggregation_semantics,"Formal latency is reported for the complete sequential path with pooled 5400-frame statistics per variant.",HIGH
This work,,Task correctness,YES,docs/paper/phase5_6/phase56b_correctness_table_source.csv,all rows,"Precision, Recall, mAP50, and mAP50-95 are reported for V0, V2R, and V3R under a common evaluation.",HIGH
This work,,Tail latency,YES,docs/paper/phase5_6/phase56b_publication_display_values.json,pooled P95/P99,"Pooled P95/P99 and their mixed-direction V2R-to-V3R verdict are explicitly reported.",HIGH
