source_id,paragraph_id,visible_text,role,applies_to_current_manuscript,classification_basis,status
HFUT_FMT_DOC,P030,   （1）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P031,        （2）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P032, （3）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P033,（当变量为矢量、向量、矩阵时，斜体并加粗）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P034,（4）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P035,其中：为在t时刻度为的节点中被感染节点的比例；为度为的节点恢复概率；为度为的节点的算法介数；为t时刻感染节点发送信息包的比例。（由字母符号表示的变量，应随数学式对其含义进行解释。）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P036,3  图表格式要求,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P037,3.1  插图格式要求,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P038,本刊插图具体要求参照下载中心里本刊插图要求及示例的附件。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P039,附图连续编号，先文后图，图中字号为6号宋体，图上、下各空1行。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P040,1）曲线图。建议采用Origin软件绘制曲线图，用复制页面功能插入Word中，不能截图或生成图片插入。曲线图要去掉底纹，只留曲线、坐标轴、刻度、量与单位。相关曲线图示例如图1所示。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P041,图1 曲线图示例（六号黑体）,MANUSCRIPT_SPECIMEN_CONTENT,YES,caption/table specimen,CLASSIFIED
HFUT_FMT_DOC,P042,2）流程图、框图及在图中添加文字的图。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P043,建议采用Visio做图，复制到Word中；其他非Origin格式图片中的文字、数字、字母请在Visio中编辑，复制到Word中。相关框架图示例如图2所示。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P044,图2 框架图示例（Visio软件绘制，图中字六号字）,MANUSCRIPT_SPECIMEN_CONTENT,YES,caption/table specimen,CLASSIFIED
HFUT_FMT_DOC,P045,3.2  表格格式要求,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P046,本刊表格具体要求参照下载中心里本刊表格要求及示例的附件。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P047,表格一律采用三线表。文表呼应，先文后表。表格示例见表1、表2所列。,MANUSCRIPT_SPECIMEN_CONTENT,YES,caption/table specimen,CLASSIFIED
HFUT_FMT_DOC,P048,表1 中文表名（六号黑体）,MANUSCRIPT_SPECIMEN_CONTENT,YES,caption/table specimen,CLASSIFIED
HFUT_FMT_DOC,P049,     表2  B结构2种拆解实验数据       单位：min,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P050,4  结  论,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P051,希望作者尽量满足排版格式要求。作者高质量的论文编排，会提高编辑部的工作效率，减少出错率，保证文章按时、正确地出版。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P052,[参 考 文 献],MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P053,"期刊: [序号] 作者（英文期刊作者姓前名后, 姓应全部著录，首字母应大写，名可缩写为首字母；用汉语拼音著录个人责任者，名宜用全称）.题名[J].刊名（外文刊名尽量不用缩写, 全文统一），出版年，卷(期):起止页码（或文章编号）.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P054,"[1]  俞欣,刘晓平,张光伟,等.高架斜坡及车辆诱导效应对污染物传播与暴露风险研究[J].合肥工业大学学报(自然科学版)，2024,47(12):1595-1600.(六号宋体或Times New Roman)",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P055,"[2]  Gutiérrez T J, Tovar J. Update of the concept of type 5 resistant starch (RS5): self-assembled starch V-type complexes [J]. Trends in Food Science & Technology, 2021, 109: 711-724. (六号Times New Roman)",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P056,"[3]  刘相阳,夏培斋,徐茜茜,等.再生细骨料水泥砂浆力学性能试验研究[J].混凝土,2020(7):106-108,113.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P057,"[4]  张群,程志宝,石志飞.惯性增强动力吸振器-浮置板轨道低频减振性能研究[J/OL].铁道学报,2024-05-09. .  (注:日期为在线出版日期)",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P058,"[5]  王利平,王福新,刘洪.过冷大水滴环境粒径分布模拟方法研究进展[J].航空学报,2024,45(增刊1):730570.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P059,"[6] Fei Yang, Li Weiqin, Zong Guangquan, et al. Cholecystolithotomy combined Armillarisin A versus cholecystectomy in cirrhotic portal hypertension patients with symptomatic cholelithiasis[J]. Chirurgia, 2017, 112(2): 143-151.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P060,"专著：[序号]作者（格式要求同期刊）.书名[M].版本（第一版不写）.出版地：出版者,出版年:析出文献页码(可以不标注).",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P061,"[7]  吴业正,李红旗,张华.制冷压缩机[M].3版.北京:机械工业出版社,2019:38-39.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P062,"[8]  Kelly Rainer R, Turban E, Potter R E, et al. Introduction to information systems[M].3rd ed.[S.l.]: John Wiley & Sons,Inc.,",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P063,2010.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P064,"[9]  Baliga B T.功率半导体器件基础[M].韩郑生,陆江,宋李梅,等,译.北京:电子工业出版社,2013.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P065,"[10] Kinchy A. Seeds, science, and struggle: the global politics of transgenic crops[M]. Cambridge, Mass.: MIT Press, 2012:50.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P066,"会议论文集：[序号]作者（格式要求同期刊）.题名[C]//编者.论文集名（会议名称）.出版地:出版者,出版年:起止页码.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P067,"[11] Rajyalakshmi P, Sathappan S, Jyothi Rani M, et al. A novel image processing system to recognize and classify images using integrated advanced CNN and FPGA for IoT based applications [C]// 2022 4th International Conference on Inventive Research in Computing Applications. Coimbatore: IEEE,2022:365-368.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P068,"[12] Fourney M E. Advances in holographic photoelasticity [C]// GottenbergW G. Symposium on Applications of Holography in Mechanics, August23-25, 1971, University of Southern California, Los Angeles, California. New York: ASME, 1971: 17-38.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P069,"[13] 乔晓罡,李文静.从一些国家雨水利用情况谈我国的雨水利用[C]// “建设资源节约型、环境友好型社会”高层论坛论文集.陕西:西安地图出版社,2007:239-242.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P070,"[14] 肖希明,石庆功,刘奕.民国图书馆学教育的社会贡献[C]//纪念北京大学图书馆学教育100周年研讨会论文集.北京:北京大学信息管理系,2024:134-147.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P071,学位论文：[序号] 作者（格式要求同期刊）.题名[D].保存地点:保存单位，授予年份：引文页码.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P072,"[15] 王琦.融合星载GNSS-R和SAR数据的高时空分辨率土壤湿度反演方法研究[D].武汉:武汉大学,2022:87.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P073,"[16] Christou A. Improving knowledge graph understanding with contextual views [D]. Ohio: Wrigbt State University, 2024: 18.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P074,标准：[序号] 标准编号 标准名称[S].,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P075,[17]  GB/T 22068—2018 汽车空调用电动压缩机总成[S].,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P076,[18]  IEC/IEEE 61636-1:2021 Software interface for maintenance information collection and analysis (SIMICA): exchanging test results and session information via the eXtensible Markup Language (XML)[S].,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P077,预印本：[序号] 作者（格式要求同期刊）.题名[PP/OL].版本.出版平台(创建或修改日期)[引用日期].获取和访问路径.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P078,"[19] Courbariaux M, Hubara I, Soudry D, et al. Binarized neural networks: training deep neural networks with weights and activations constrained to +1 or ﹣1[PP/OL].V3.arXiv (2016-03-17)[2025-06-24].http://doi.org/10.48550/arXiv.1602.02830.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P079,网页、网站：[序号] 作者（格式要求同期刊）(有则必备).题名[EB/OL]. (创建或修改日期)[引用日期]. 获取和访问路径.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P080,"[20] Antonio M, Pepper L. Historias de Portugal: livros caidos [EB/OL].(2019-07-13)[2025-01-02].https://arquivo.pt/wayback20190905210731/http://publico.pt/2019/07/13/sociedade/noticia/podcast-his-torias-portugal-cuidadores-1879731.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P081,[21] 中国国家博物馆[EB/OL].[2025-05-06]. https://www. chnmuseum.cn/.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P082,专利：[序号] 专利申请者或所有者（格式要求同期刊）. 专利题名：专利编号[P].公告日期或公开日期.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P083, [22]姜锡洲.一种温热外敷药制备方案: 88105607.3[P].1989-07-26.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P084,报告：[序号] 作者(格式要求同期刊).报告题名:报告编号[R].出版地：出版者，出版年：引文页码.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P085,"[23] U.S. Department of Transportation Federal Highway Administration. Guidelines for handing excavated acid- producing materials: PB 9I-194001[R]. Springfield: U.S. Department of Commerce National Information Service, 1990: 25.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P086,[24] 中国互联网络信息中心.第29次中国互联网络发展状况统计报告[R/OL].2012-01-16. http://www.cnnic.net.cn/NMediaFile/ old_attach/P020120612484958777344.pdf.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P087,地图：[序号] 主要责任者.题名.比例尺[CM].版本.出版地:出版者，出版年.尺寸.获取和访问路径.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P088,"[25] 胡健民.东南极拉斯曼丘陵地区地质图.1:25 000[CM].北京:科学出版社,2021.128 cm×84 cm.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P089,[26] 国家测绘地理信息局. 一带一路经济走廊及其途经城市分布地势图[CM/OL].http://ydy.china.com.cn/2016-10/27/,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P090,content_39582227.htm.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_REF_DOC,P001,参考文献要求及示例,FORMAT_DOCUMENT_OWN_HEADING,NO,reference-instruction document title,CLASSIFIED
HFUT_REF_DOC,P002,参考文献的排版严格按照执行国家标准GB/T 7714—2025《信息与文献 参考文献著录规则）》。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format instruction,CLASSIFIED
HFUT_REF_DOC,P003,本刊参考文献中汉字为六号宋体，字母、数字为六号Times New Roman，行距14磅。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format instruction,CLASSIFIED
HFUT_REF_DOC,P004,不同类型的参考文献示例如下：,MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format example/instruction,CLASSIFIED
HFUT_REF_DOC,P005,"一  期刊: [序号] 作者（英文期刊作者姓前名后, 姓应全部著录，首字母应大写，名可缩写为首字母；用汉语拼音著录个人责任者，名宜用全称）.题名[J].刊名（外文刊名尽量不用缩写, 全文统一），出版年，卷(期):起止页码（或文章编号）.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format example/instruction,CLASSIFIED
HFUT_REF_DOC,P006,"[1]  俞欣,刘晓平,张光伟,等.高架斜坡及车辆诱导效应对污染物传播与暴露风险研究[J].合肥工业大学学报(自然科学版)，2024,47(12):1595-1600.(六号宋体或Times New Roman)",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P007,"[2]  Gutiérrez T J, Tovar J. Update of the concept of type 5 resistant starch (RS5): self-assembled starch V-type complexes [J]. Trends in Food Science & Technology, 2021, 109: 711-724. (六号Times New Roman)",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P008,"[3]  刘相阳,夏培斋,徐茜茜,等.再生细骨料水泥砂浆力学性能试验研究[J].混凝土,2020(7):106-108,113.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P009,"[4]  张群,程志宝,石志飞.惯性增强动力吸振器-浮置板轨道低频减振性能研究[J/OL].铁道学报,2024-05-09. .  (注:日期为在线出版日期)",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P010,"[5]  王利平,王福新,刘洪.过冷大水滴环境粒径分布模拟方法研究进展[J].航空学报,2024,45(增刊1):730570.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P011,"[6] Fei Yang, Li Weiqin, Zong Guangquan, et al. Cholecystolithotomy combined Armillarisin A versus cholecystectomy in cirrhotic portal hypertension patients with symptomatic cholelithiasis[J]. Chirurgia, 2017, 112(2): 143-151.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P012,"二 专著：[序号]作者（格式要求同期刊）.书名[M].版本（第一版不写）.出版地：出版者,出版年:析出文献页码(可以不标注).",MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format example/instruction,CLASSIFIED
HFUT_REF_DOC,P013,"[7]  吴业正,李红旗,张华.制冷压缩机[M].3版.北京:机械工业出版社,2019:38-39.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P014,"[8]  Kelly Rainer R, Turban E, Potter R E, et al. Introduction to information systems[M].3rd ed.[S.l.]: John Wiley & Sons,Inc.,",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P015,2010.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format instruction,CLASSIFIED
HFUT_REF_DOC,P016,"[9]  Baliga B T.功率半导体器件基础[M].韩郑生,陆江,宋李梅,等,译.北京:电子工业出版社,2013.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P017,"[10] Kinchy A. Seeds, science, and struggle: the global politics of transgenic crops[M]. Cambridge, Mass.: MIT Press, 2012:50.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P018,"三 会议论文集：[序号]作者（格式要求同期刊）.题名[C]//编者.论文集名（会议名称）.出版地:出版者,出版年:起止页码.",MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format example/instruction,CLASSIFIED
HFUT_REF_DOC,P019,"[11] Rajyalakshmi P, Sathappan S, Jyothi Rani M, et al. A novel image processing system to recognize and classify images using integrated advanced CNN and FPGA for IoT based applications [C]// 2022 4th International Conference on Inventive Research in Computing Applications. Coimbatore: IEEE,2022:365-368.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P020,"[12] Fourney M E. Advances in holographic photoelasticity [C]// GottenbergW G. Symposium on Applications of Holography in Mechanics, August23-25, 1971, University of Southern California, Los Angeles, California. New York: ASME, 1971: 17-38.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P021,"[13] 乔晓罡,李文静.从一些国家雨水利用情况谈我国的雨水利用[C]// “建设资源节约型、环境友好型社会”高层论坛论文集.陕西:西安地图出版社,2007:239-242.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P022,"[14] 肖希明,石庆功,刘奕.民国图书馆学教育的社会贡献[C]//纪念北京大学图书馆学教育100周年研讨会论文集.北京:北京大学信息管理系,2024:134-147.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P023,四 学位论文：[序号] 作者（格式要求同期刊）.题名[D].保存地点:保存单位，授予年份：引文页码.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format example/instruction,CLASSIFIED
HFUT_REF_DOC,P024,"[15] 王琦.融合星载GNSS-R和SAR数据的高时空分辨率土壤湿度反演方法研究[D].武汉:武汉大学,2022:87.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P025,"[16] Christou A. Improving knowledge graph understanding with contextual views [D]. Ohio: Wrigbt State University, 2024: 18.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P026,五 标准：[序号] 标准编号 标准名称[S].,MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format example/instruction,CLASSIFIED
HFUT_REF_DOC,P027,[17]  GB/T 22068—2018 汽车空调用电动压缩机总成[S].,MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P028,[18]  IEC/IEEE 61636-1:2021 Software interface for maintenance information collection and analysis (SIMICA): exchanging test results and session information via the eXtensible Markup Language (XML)[S].,MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P029,六 预印本：[序号] 作者（格式要求同期刊）.题名[PP/OL].版本.出版平台(创建或修改日期)[引用日期].获取和访问路径.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format example/instruction,CLASSIFIED
HFUT_REF_DOC,P030,"[19] Courbariaux M, Hubara I, Soudry D, et al. Binarized neural networks: training deep neural networks with weights and activations constrained to +1 or ﹣1[PP/OL].V3.arXiv (2016-03-17)[2025-06-24].http://doi.org/10.48550/arXiv.1602.02830.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
HFUT_REF_DOC,P031,七 网页、网站：[序号] 作者（格式要求同期刊）(有则必备).题名[EB/OL]. (创建或修改日期)[引用日期]. 获取和访问路径.,MANUSCRIPT_FORMAT_INSTRUCTION,YES,reference-format example/instruction,CLASSIFIED
HFUT_REF_DOC,P032,"[20] Antonio M, Pepper L. Historias de Portugal: livros caidos [EB/OL].(2019-07-13)[2025-01-02].https://arquivo.pt/wayback20190905210731/http://publico.pt/2019/07/13/sociedade/noticia/podcast-his-torias-portugal-cuidadores-1879731.",MANUSCRIPT_SPECIMEN_CONTENT,YES,reference-entry specimen,CLASSIFIED
